소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 동작구 장승배기로23길 10,,생활방범,3,2020-03-24
서울특별시 동작구 노량진로8길 40,,생활방범,3,2020-03-24
서울특별시 동작구 장승배기로18길 27,,생활방범,3,2020-03-24
서울특별시 동작구 만양로14다길 7,,생활방범,1,2020-03-24
서울특별시 동작구 장승배기로22길 44(,,생활방범,1,2020-03-24
서울특별시 동작구 장승배기로19다길 24(노량진2동 302-27),,생활방범,1,2020-03-24
서울특별시 동작구 장승배기로24가길 39(노량진1동 232-52),,생활방범,1,2020-03-24
서울특별시 동작구 노량진로26길 65(노량진1동 485-2),,생활방범,1,2020-03-24
서울특별시 동작구 노량진로18길 20(노량진1동 408-1),,생활방범,3,2020-03-24
서울특별시 동작구 상도로60길 35(상도1동 126-65),,생활방범,3,2020-03-24
서울특별시 동작구 상도로67길 20(상도1동 504-13),,생활방범,4,2020-03-24
서울특별시 동작구 상도로41가길 6(상도1동 465),,생활방범,4,2020-03-24
서울특별시 동작구 상도로 41길 50(상도1동 440),,생활방범,4,2020-03-24
서울특별시 동작구 상도로47다길 32(상도1동 319-1),,생활방범,4,2020-03-24
서울특별시 동작구 상도로56길 6(상도1동 473-7),,생활방범,4,2020-03-24
서울특별시 동작구 상도로15마길 22(상도2동 356-85),,생활방범,4,2020-03-24
서울특별시 동작구 상도로15아길 18(상도2동 361-52),,생활방범,3,2020-03-24
서울특별시 동작구 상도로26가길 8(상도2동 183-22),,생활방범,3,2020-03-24
서울특별시 동작구 만양로1길 18(상도2동 22-43),,생활방범,3,2020-03-24
서울특별시 동작구 대방동2길 38,,생활방범,3,2020-03-24
서울특별시 동작구 국사봉10길 20(상도3동 299-109),,생활방범,3,2020-03-24
서울특별시 동작구 성대로6가길 41(상도3동 256-219),,생활방범,4,2020-03-24
서울특별시 동작구 국사봉5길 1(상도3동 304-6),,생활방범,4,2020-03-24
서울특별시 동작구 성대로21가길 29(상도4동 244-47),,생활방범,3,2020-03-24
서울특별시 동작구 성대로10길 55(상도4동 279-52),,생활방범,4,2020-03-24
서울특별시 동작구 성대로31길 33(상도4동 202-221),,생활방범,4,2020-03-24
서울특별시 동작구 양녕로28길 54(상도4동 211-132),,생활방범,5,2020-03-24
서울특별시 동작구 서달로8가길2(흑석동 93-147),,생활방범,3,2020-03-24
서울특별시 동작구 서달로10길 64(흑석동 84-10),,생활방범,1,2020-03-24
서울특별시 동작구 흑석로3길 38-1(흑석동 200-12),,생활방범,3,2020-03-24
서울특별시 동작구 서달로6길 19(흑석동 79-24),,생활방범,3,2020-03-24
서울특별시 동작구 대방동3길 39,,생활방범,4,2020-03-24
서울특별시 동작구 대방동2길 22,,생활방범,2,2020-03-24
서울특별시 동작구 등용로4길 43(대방동 13-4),,생활방범,4,2020-03-24
서울특별시 동작구 여의대방로62길 14(대방동 101-5),,생활방범,4,2020-03-24
서울특별시 동작구 대방동 9길 14(대방동 391-249),,생활방범,3,2020-03-24
서울특별시 동작구 여의대방로24라길 13(대방동 415-47),,생활방범,3,2020-03-24
서울특별시 동작구 신대방2나길 1(신대방1동 621-1),,생활방범,3,2020-03-24
서울특별시 동작구 신대방1길 72(신대방1동 696-4),,생활방범,3,2020-03-24
,서울특별시 동작구 신대방1동 631-38,생활방범,3,2020-03-24
,서울특별시 동작구 신대방1동 459-6,생활방범,2,2020-03-24
서울특별시 동작구 신대방14길 15(신대방1동 600-57),,생활방범,4,2020-03-24
서울특별시 동작구 신대방14가길 47(신대방1동 632-58),,생활방범,3,2020-03-24
서울특별시 동작구 여의대방로22카길 47(신대방2동 360-186),,생활방범,3,2020-03-24
서울특별시 동작구 국사봉2길 29(신대방동 339-21),,생활방범,3,2020-03-24
서울특별시 동작구 보라매로9길 12(신대방2동 344-88),,생활방범,4,2020-03-24
서울특별시 동작구 여의대방로22라길 23(신대방2동 366-131),,생활방범,5,2020-03-24
서울특별시 동작구 동작대로29가길 18(사당2동 89-52),,생활방범,3,2020-03-24
서울특별시 동작구 동작대로 43길 35 (사당2동 102-7),,생활방범,4,2020-03-24
서울특별시 동작구 동작대로35가길 56(사당2동 68-18),,생활방범,3,2020-03-24
서울특별시 동작구 동작대로27길 38(사당2동 129-11),,생활방범,4,2020-03-24
서울특별시 동작구 동작대로29길 63-1(사당2동 127-40),,생활방범,3,2020-03-24
서울특별시 동작구 남부순환로257가길 32(사당1동 419-24),,생활방범,1,2020-03-24
서울특별시 동작구 남부순환로259길 10(사당1동 1050-2),,생활방범,3,2020-03-24
서울특별시 동작구 사당로20길 63(사당1동 431-4),,생활방범,1,2020-03-24
서울특별시 동작구 남부순환로265길 21(사당1동 1048-19),,생활방범,4,2020-03-24
서울특별시 동작구 사당로29길 26(사당3동 141-97),,생활방범,3,2020-03-24
서울특별시 동작구 동작대로35길 43(사당2동 69-13),,생활방범,1,2020-03-24
서울특별시 동작구 사당로27길 12(사당3동 141-160),,생활방범,5,2020-03-24
서울특별시 동작구 사당로9나길7(사당3동 220-38),,생활방범,4,2020-03-24
서울특별시 동작구 솔밭로 74-1(사당5동 235-61),,생활방범,3,2020-03-24
서울특별시 동작구 사당로2자길 2-15(사당5동 188-12),,생활방범,4,2020-03-24
서울특별시 동작구 사당로2차길 36(사당5동 206-16),,생활방범,5,2020-03-24
서울특별시 동작구 사당로14길 38(사당4동 278-50),,생활방범,3,2020-03-24
서울특별시 동작구 사당로16길 14(사당4동 266-2),,생활방범,3,2020-03-24
서울특별시 동작구 남부순환로255라길 4(사당4동 303-27),,생활방범,4,2020-03-24
서울특별시 동작구 사당로20다길 15(사당4동 316-32),,생활방범,4,2020-03-24
서울특별시 동작구 노량진로14길 29(노량진1동 83-7),,생활방범,4,2020-03-24
서울특별시 동작구 노량진로30길 55(노량진1동 43-4),,생활방범,4,2020-03-24
서울특별시 동작구 상도로47길 8(상도1동 464-33),,생활방범,4,2020-03-24
서울특별시 동작구 매봉로 37(상도1동 512),,생활방범,4,2020-03-24
서울특별시 동작구 상도로 119 (상도3동 352-1),,생활방범,4,2020-03-24
서울특별시 동작구 양녕로28길 8(상도4동 211-207),,생활방범,3,2020-03-24
