소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
,서울특별시 서대문구 창천동 57-18(창천문화공원),생활방범,6,2009-03
,서울특별시 서대문구 홍은1동 11-23(홍박공원),생활방범,8,2009-03
,서울특별시 서대문구 홍은2동 405-3(홍남어린이공원),생활방범,5,2009-03
,서울특별시 서대문구 홍은2동 421-1(백련어린이공원),생활방범,4,2009-03
,서울특별시 서대문구 남가좌2동 326-8(연남어린이공원),생활방범,6,2009-03
,서울특별시 서대문구 홍제3동 454-2(홍제근린공원),생활방범,8,2009-08
,서울특별시 서대문구 홍은2동 408-4(홍연어린이공원),생활방범,4,2009-12
,"서울특별시 서대문구 연희동 산 118(궁동근린공원, 실내체육관)",생활방범,4,2010-02
,서울특별시 서대문구 북아현동 210-24(명수어린이공원),생활방범,9,2010-06
,서울특별시 서대문구 연희동 73-8(대궐재어린이공원),생활방범,6,2010-06
,서울특별시 서대문구 연희동 519-7(연서어린이공원),생활방범,9,2010-06
,서울특별시 서대문구 연희동 산 1 (안산도시자연공원),생활방범,6,2010-06
,서울특별시 서대문구 홍제3동 287-121(불천어린이공원),생활방범,6,2010-06
,서울특별시 서대문구 남가좌2동 376-4(가좌어린이공원),생활방범,8,2010-06
,서울특별시 서대문구 북가좌2동 318-1(신가어린이공원),생활방범,6,2010-06
,서울특별시 서대문구 연희동 산 118(궁동근린공원. 화장실),생활방범,4,2010-11
,서울특별시 서대문구 연희동 산 (안산문화쉼터 방문자센터),생활방범,4,2011-06
,서울특별시 서대문구 연희동 산 (안산문화쉼터 벚꽃마당),생활방범,3,2011-06
,서울특별시 서대문구 연희동 산 (안산문화쉼터 숲속쉼터),생활방범,3,2011-06
,서울특별시 서대문구 백련근린공원(화장실),생활방범,4,2012-01
,서울특별시 서대문구 백련근린공원(논골마당),생활방범,4,2012-01
,서울특별시 서대문구 백련근린공원(저류지),생활방범,3,2012-01
,서울특별시 서대문구 창천근린공원(돌계단),생활방범,4,2012-07
,서울특별시 서대문구 창천근린공원(정상),생활방범,4,2012-07
,서울특별시 서대문구 안산도시공원(구의회방향),생활방범,3,2012-07
,서울특별시 서대문구 안산도시공원(아파트방향),생활방범,3,2012-07
,서울특별시 서대문구 안산도시공원(신일교회방향),생활방범,3,2012-07
,서울특별시 서대문구 호박골공원(아파트입구),생활방범,3,2012-07
,서울특별시 서대문구 호박골공원(배드민턴장),생활방범,3,2012-07
,"서울특별시 서대문구 호박골공원(축구장,회전형)",생활방범,1,2012-07
,"서울특별시 서대문구 호박골공원(놀이시설,회전형)",생활방범,1,2012-07
,서울특별시 서대문구 호박골공원(관리사무소),생활방범,2,2012-07
,서울특별시 서대문구 호박골공원(주택입구),생활방범,3,2012-07
,서울특별시 서대문구 배롱나무쉼터,생활방범,2,2012-07
,서울특별시 서대문구 안산자락길(화장실),생활방범,3,2013-10
,서울특별시 서대문구 안산자락길(북카페),생활방범,2,2013-10
,서울특별시 서대문구 고은산공원(계단입구),생활방범,2,2013-10
,"서울특별시 서대문구 고은산공원(놀이시설, 배드민턴)",생활방범,3,2013-10
,서울특별시 서대문구 호박골공원(놀이시설 입구),생활방범,3,2013-10
,서울특별시 서대문구 은가어린이공원(정자),생활방범,2,2013-10
