소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,3,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
없음,진관동 175 기자촌공원내,기타,4,2014-12
서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,2019-05
서오릉로20길 15-1,갈현2동 327-21 (갈현동 327-113뒤),기타,2,2019-05
서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,2017-11
서오릉로17길 5,구산동 340-1 (구산동 341-4옆),기타,3,2019-09
통일로 849,갈현1동 397,기타,1,2015-12
통일로 849,갈현1동 397,기타,3,2013-12
없음,갈현1동 416-3,기타,2,2015-12
없음,갈현1동 416-3,기타,2,2015-12
없음,갈현1동 434-38,기타,2,2019-05
없음,갈현1동 434-38,다목적,1,2017-12
없음,갈현1동 434-38,기타,2,2019-05
갈현로41길 7,갈현1동 436-51,기타,2,2019-05
갈현로41길 7,갈현1동 436-51,기타,2,2019-05
갈현로41길 7,갈현1동 436-51,다목적,1,2017-12
연서로21길 15,갈현2동 474-1,기타,2,2019-05
연서로21길 15,갈현2동 474-1,다목적,1,2017-12
연서로21길 15,갈현2동 474-1,기타,2,2019-05
갈현로25길 11-8,갈현2동 513-1,기타,2,2019-05
갈현로25길 11-8,갈현2동 513-1,다목적,1,2017-12
갈현로25길 11-8,갈현2동 513-1,기타,2,2019-05
없음,녹번동 100-85,기타,1,2019-09
없음,녹번동 104-7,기타,2,2014-12
없음,녹번동 153-1,기타,1,2010-12
없음,녹번동 153-1,기타,1,2010-12
없음,녹번동 153-1,기타,1,2010-12
은평로13길 35,녹번동 158-1,기타,1,2019-05
은평로13길 35,녹번동 158-1,기타,1,2019-05
은평로13길 35,녹번동 158-1,다목적,1,2017-12
없음,녹번동 85-1,기타,1,2010-12
없음,녹번동 85-1,기타,1,2016-11
없음,녹번동 85-1,기타,2,2013-12
없음,녹번동 85-1,다목적,1,2017-12
없음,녹번동 95-44,기타,2,2019-05
은평로21길 14-26,녹번동 산28-6,기타,1,2015-12
연서로22길 9-30,대조동 212,기타,1,2019-05
연서로22길 9-30,대조동 212,기타,1,2019-05
연서로22길 9-30,대조동 212,기타,1,2019-05
연서로22길 9-30,대조동 212,다목적,1,2017-12
불광로9길 15,불광1동 236-5,기타,3,2014-12
없음,불광1동 270-11,기타,3,2014-12
