소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 종로구 창신6가길 36,,생활방범,3,2020-06-30
서울특별시 종로구 낙산성곽동길 72,,생활방범,3,2020-06-30
서울특별시 종로구 사직로9길 15-25,,생활방범,3,2020-06-30
서울특별시 종로구 명륜3가 산 2-11,,생활방범,1,2020-06-30
서울특별시 종로구 명륜3가 산 2-11,,생활방범,1,2020-06-30
서울특별시 종로구 명륜3가 산 2-11,,생활방범,1,2020-06-30
서울특별시 종로구 명륜3가 산 2-11,,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 185-3,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 185-3,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 185-3,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 185-3,생활방범,1,2020-06-30
,서울특별시 종로구 숭인동 58-587,생활방범,1,2020-06-30
,서울특별시 종로구 숭인동 58-60,생활방범,1,2020-06-30
,서울특별시 종로구 숭인동 58-228,생활방범,1,2020-06-30
,서울특별시 종로구 청운동 3-55,생활방범,1,2020-06-30
,서울특별시 종로구 청운동 7-6,생활방범,1,2020-06-30
,서울특별시 종로구 평창동 산 6-17,생활방범,1,2020-06-30
,서울특별시 종로구 누상동 산 1-38,생활방범,1,2020-06-30
,서울특별시 종로구 누상동 산 1-3,생활방범,1,2020-06-30
,서울특별시 종로구 청운동 3-148,생활방범,1,2020-06-30
,서울특별시 종로구 사직동 산 1-10,생활방범,1,2020-06-30
,서울특별시 종로구 사직동 산 1-1,생활방범,1,2020-06-30
서울특별시 종로구 새문안로 55,,생활방범,1,2020-06-30
서울특별시 종로구 율곡로 283,,생활방범,1,2020-06-30
서울특별시 종로구 율곡로 283,,생활방범,1,2020-06-30
,서울특별시 종로구 숭인동 58-228,생활방범,1,2020-06-30
,서울특별시 종로구 홍파동 2-2,생활방범,1,2020-06-30
,서울특별시 종로구 송월동 1-2,생활방범,1,2020-06-30
,서울특별시 종로구 수송동 80-7,생활방범,1,2020-06-30
,서울특별시 종로구 연지동 136-92,생활방범,1,2020-06-30
서울특별시 종로구 창신길 210-11,,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 산 3-1,생활방범,1,2020-06-30
,서울특별시 종로구 옥인동 산 3-1,생활방범,1,2020-06-30
,서울특별시 종로구 청운동 7-3,생활방범,1,2020-06-30
서울특별시 종로구 북촌로 134-3,,생활방범,1,2020-06-30
,서울특별시 종로구 삼청동 산 2-1,생활방범,1,2020-06-30
,서울특별시 종로구 삼청동 산 2-1,생활방범,1,2020-06-30
서울특별시 종로구 혜화로9길 24-9,,생활방범,1,2020-06-30
,서울특별시 종로구 평창동 470,생활방범,1,2020-06-30
,서울특별시 종로구 평창동 495-4,생활방범,1,2020-06-30
,서울특별시 종로구 평창동 327-7,생활방범,1,2020-06-30
서울특별시 종로구 명륜2가 132,,생활방범,1,2020-06-30
서울특별시 종로구 성균관로 25-1,,생활방범,1,2020-06-30
,서울특별시 종로구 무악동 산3-4,생활방범,1,2020-06-30
,서울특별시 종로구 무악동 산3-4,생활방범,1,2020-06-30
,서울특별시 종로구 청운동 3-100,생활방범,1,2020-06-30
서울특별시 종로구 명륜3가 53-2,,생활방범,1,2020-06-30
,서울특별시 종로구 서린동 82,생활방범,1,2020-06-30
,서울특별시 종로구 동숭동 2-39,생활방범,1,2020-06-30
