구분,2015 ,2016 ,2017 ,2018 ,2019 
종로구,8988 ,8988 ,8986 ,9220 ,9265 
중구,8651 ,8621 ,8641 ,8694 ,8665 
용산구,6977 ,7206 ,7291 ,7248 ,7637 
성동구,5299 ,5712 ,5662 ,5780 ,6050 
광진구,4981 ,4925 ,4852 ,4774 ,4616 
동대문구,7890 ,8019 ,8096 ,8149 ,8211 
중랑구,5392 ,5682 ,5698 ,5729 ,5731 
성북구,5301 ,5288 ,5373 ,5301 ,5584 
강북구,4360 ,4440 ,4445 ,4525 ,4339 
도봉구,4400 ,4405 ,4464 ,4471 ,4556 
노원구,8745 ,9267 ,9308 ,9270 ,9510 
은평구,6835 ,6455 ,6554 ,6428 ,6369 
서대문구,5467 ,5667 ,5848 ,6075 ,6075 
마포구,7428 ,7645 ,7941 ,8177 ,8313 
양천구,7209 ,7206 ,7198 ,7833 ,7970 
강서구,6540 ,6569 ,6691 ,6682 ,8919 
구로구,7365 ,7419 ,7413 ,7490 ,7529 
금천구,4736 ,5354 ,5369 ,5294 ,5496 
영등포구,8679 ,9157 ,9209 ,9500 ,9278 
동작구,4641 ,5328 ,5483 ,5568 ,5656 
관악구,4964 ,4897 ,4895 ,4894 ,5304 
서초구,11143 ,11622 ,11699 ,12691 ,12793 
강남구,12184 ,13826 ,14193 ,14193 ,13788 
송파구,11225 ,12054 ,12586 ,13263 ,13520 
강동구,7232 ,7411 ,7891 ,7982 ,7477 
