년,상세영업상태명,폐업일자,사업장명,업태구분명,지번주소,도로명주소,위도,경도
2017,영업중,0,신세계백화점,백화점,서울특별시 중구 충무로1가 52-2,서울특별시 중구 충무로1가 퇴계로 77,37.56001199,126.98119609999999
2017,폐업,20171227,롯데백화점 청량리플라자,백화점,서울특별시 동대문구 전농동 620-1,서울특별시 동대문구 왕산로 194,37.57982791,127.0447528
2017,영업중,0,롯데백화점 본점,백화점,서울특별시 중구 소공동 1,서울특별시 중구 남대문로 81,37.56472996,126.9817301
2017,영업중,0,갤러리아백화점(서관),백화점,서울특별시 강남구 압구정동 494,서울특별시 강남구 압구정로 343,37.52855222,127.04002990000001
2017,영업중,0,갤러리아백화점(동관),백화점,서울특별시 강남구 압구정동 515,서울특별시 강남구 압구정로 407,37.52807117,127.04154479999998
2017,영업중,0,(주)현대백화점 본점,백화점,서울특별시 강남구 압구정동 429,서울특별시 강남구 압구정로 165,37.52732479,127.02744550000001
2017,영업중,0,현대백화점 무역센터점,백화점,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로 513,37.51251183,127.05879499999999
2017,영업중,0,롯데백화점 잠실점,백화점,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로 212,37.51109496,127.0938943
2017,영업중,0,롯데백화점 영등포점,백화점,서울특별시 영등포구 영등포동 618-1,서울특별시 영등포구 영등포동3가 경인로 849,37.51648644,126.9071963
2017,영업중,0,현대백화점 신촌점,백화점,서울특별시 서대문구 창천동 30-1,서울특별시 서대문구 연세로 13,37.55675392,126.93655179999999
2017,영업중,0,AK PLAZA,백화점,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로 152,37.50116527,126.88281529999999
2017,영업중,0,현대백화점 천호점,백화점,서울특별시 강동구 천호동 455,서울특별시 강동구 천호대로 1015,37.5384917,127.1250848
2017,영업중,0,롯데백화점(강남점),백화점,서울특별시 강남구 대치동 937,서울특별시 강남구 선릉로62길 9,37.49704866,127.0535696
2017,영업중,0,신세계백화점메사점,백화점,서울특별시 중구 회현동1가 204,서울특별시 중구 회현동1가 남대문시장10길 2,37.56036607,126.9795913
2017,영업중,0,현대백화점 미아점,백화점,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로 315,37.60836472,127.02869840000001
2017,영업중,0,현대백화점목동점,백화점,서울특별시 양천구 목동 916,서울특별시 양천구 목동동로 257,37.52684281,126.8750101
