년,관서,주소,구,죄종,발생검거,건수
2020,중부,서울시 중구 수표로 27,중구,살인,검거,1
2020,중부,서울시 중구 수표로 27,중구,강도,검거,3
2020,중부,서울시 중구 수표로 27,중구,강간,검거,75
2020,중부,서울시 중구 수표로 27,중구,절도,검거,573
2020,중부,서울시 중구 수표로 27,중구,폭력,검거,944
2020,종로,서울시 종로구 율곡로 46,종로구,살인,검거,2
2020,종로,서울시 종로구 율곡로 46,종로구,강도,검거,4
2020,종로,서울시 종로구 율곡로 46,종로구,강간,검거,121
2020,종로,서울시 종로구 율곡로 46,종로구,절도,검거,369
2020,종로,서울시 종로구 율곡로 46,종로구,폭력,검거,1058
2020,남대문,서울시 중구 한강대로 410,중구,살인,검거,0
2020,남대문,서울시 중구 한강대로 410,중구,강도,검거,1
2020,남대문,서울시 중구 한강대로 410,중구,강간,검거,39
2020,남대문,서울시 중구 한강대로 410,중구,절도,검거,475
2020,남대문,서울시 중구 한강대로 410,중구,폭력,검거,688
2020,서대문,서울 서대문구 통일로 113,서대문구,살인,검거,1
2020,서대문,서울 서대문구 통일로 113,서대문구,강도,검거,4
2020,서대문,서울 서대문구 통일로 113,서대문구,강간,검거,153
2020,서대문,서울 서대문구 통일로 113,서대문구,절도,검거,600
2020,서대문,서울 서대문구 통일로 113,서대문구,폭력,검거,1258
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,검거,1
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,검거,2
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,검거,55
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,검거,364
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,검거,732
2020,용산,서울시 용산구 원효로89길 24,용산구,살인,검거,3
2020,용산,서울시 용산구 원효로89길 24,용산구,강도,검거,4
2020,용산,서울시 용산구 원효로89길 24,용산구,강간,검거,236
2020,용산,서울시 용산구 원효로89길 24,용산구,절도,검거,544
2020,용산,서울시 용산구 원효로89길 24,용산구,폭력,검거,1820
2020,성북,서울 성북구 보문로 170,성북구,살인,검거,2
2020,성북,서울 성북구 보문로 170,성북구,강도,검거,0
2020,성북,서울 성북구 보문로 170,성북구,강간,검거,74
2020,성북,서울 성북구 보문로 170,성북구,절도,검거,259
2020,성북,서울 성북구 보문로 170,성북구,폭력,검거,674
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,검거,5
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,검거,9
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,검거,143
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,검거,826
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,검거,1831
2020,마포,서울시 마포구 마포대로 183,마포구,살인,검거,2
2020,마포,서울시 마포구 마포대로 183,마포구,강도,검거,2
2020,마포,서울시 마포구 마포대로 183,마포구,강간,검거,416
2020,마포,서울시 마포구 마포대로 183,마포구,절도,검거,916
2020,마포,서울시 마포구 마포대로 183,마포구,폭력,검거,1832
2020,영등포,서울시 영등포구 국회대로 608,영등포구,살인,검거,10
2020,영등포,서울시 영등포구 국회대로 608,영등포구,강도,검거,3
2020,영등포,서울시 영등포구 국회대로 608,영등포구,강간,검거,238
2020,영등포,서울시 영등포구 국회대로 608,영등포구,절도,검거,1067
2020,영등포,서울시 영등포구 국회대로 608,영등포구,폭력,검거,2465
2020,성동,서울시 성동구 왕십리광장로 9,성동구,살인,검거,4
2020,성동,서울시 성동구 왕십리광장로 9,성동구,강도,검거,9
2020,성동,서울시 성동구 왕십리광장로 9,성동구,강간,검거,96
2020,성동,서울시 성동구 왕십리광장로 9,성동구,절도,검거,511
2020,성동,서울시 성동구 왕십리광장로 9,성동구,폭력,검거,1214
2020,동작,서울시 동작구 노량진로 148,동작구,살인,검거,2
2020,동작,서울시 동작구 노량진로 148,동작구,강도,검거,1
2020,동작,서울시 동작구 노량진로 148,동작구,강간,검거,110
