년,관서,주소,구,죄종,발생검거,건수
2020,중부,서울시 중구 수표로 27,중구,살인,발생,1
2020,중부,서울시 중구 수표로 27,중구,강도,발생,3
2020,중부,서울시 중구 수표로 27,중구,강간,발생,126
2020,중부,서울시 중구 수표로 27,중구,절도,발생,1198
2020,중부,서울시 중구 수표로 27,중구,폭력,발생,1135
2020,종로,서울시 종로구 율곡로 46,종로구,살인,발생,2
2020,종로,서울시 종로구 율곡로 46,종로구,강도,발생,5
2020,종로,서울시 종로구 율곡로 46,종로구,강간,발생,151
2020,종로,서울시 종로구 율곡로 46,종로구,절도,발생,816
2020,종로,서울시 종로구 율곡로 46,종로구,폭력,발생,1248
2020,남대문,서울시 중구 한강대로 410,중구,살인,발생,1
2020,남대문,서울시 중구 한강대로 410,중구,강도,발생,2
2020,남대문,서울시 중구 한강대로 410,중구,강간,발생,67
2020,남대문,서울시 중구 한강대로 410,중구,절도,발생,1004
2020,남대문,서울시 중구 한강대로 410,중구,폭력,발생,786
2020,서대문,서울 서대문구 통일로 113,서대문구,살인,발생,2
2020,서대문,서울 서대문구 통일로 113,서대문구,강도,발생,5
2020,서대문,서울 서대문구 통일로 113,서대문구,강간,발생,174
2020,서대문,서울 서대문구 통일로 113,서대문구,절도,발생,1226
2020,서대문,서울 서대문구 통일로 113,서대문구,폭력,발생,1533
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,발생,2
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,발생,2
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,발생,86
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,발생,699
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,발생,832
2020,용산,서울시 용산구 원효로89길 24,용산구,살인,발생,3
2020,용산,서울시 용산구 원효로89길 24,용산구,강도,발생,3
2020,용산,서울시 용산구 원효로89길 24,용산구,강간,발생,271
2020,용산,서울시 용산구 원효로89길 24,용산구,절도,발생,999
2020,용산,서울시 용산구 원효로89길 24,용산구,폭력,발생,2035
2020,성북,서울 성북구 보문로 170,성북구,살인,발생,2
2020,성북,서울 성북구 보문로 170,성북구,강도,발생,0
2020,성북,서울 성북구 보문로 170,성북구,강간,발생,116
2020,성북,서울 성북구 보문로 170,성북구,절도,발생,442
2020,성북,서울 성북구 보문로 170,성북구,폭력,발생,737
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,발생,5
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,발생,10
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,발생,168
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,발생,1531
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,발생,1975
2020,마포,서울시 마포구 마포대로 183,마포구,살인,발생,2
2020,마포,서울시 마포구 마포대로 183,마포구,강도,발생,2
2020,마포,서울시 마포구 마포대로 183,마포구,강간,발생,494
2020,마포,서울시 마포구 마포대로 183,마포구,절도,발생,2190
2020,마포,서울시 마포구 마포대로 183,마포구,폭력,발생,2153
2020,영등포,서울시 영등포구 국회대로 608,영등포구,살인,발생,10
2020,영등포,서울시 영등포구 국회대로 608,영등포구,강도,발생,3
2020,영등포,서울시 영등포구 국회대로 608,영등포구,강간,발생,355
2020,영등포,서울시 영등포구 국회대로 608,영등포구,절도,발생,2409
2020,영등포,서울시 영등포구 국회대로 608,영등포구,폭력,발생,3039
2020,성동,서울시 성동구 왕십리광장로 9,성동구,살인,발생,5
2020,성동,서울시 성동구 왕십리광장로 9,성동구,강도,발생,9
2020,성동,서울시 성동구 왕십리광장로 9,성동구,강간,발생,132
2020,성동,서울시 성동구 왕십리광장로 9,성동구,절도,발생,970
2020,성동,서울시 성동구 왕십리광장로 9,성동구,폭력,발생,1392
2020,동작,서울시 동작구 노량진로 148,동작구,살인,발생,4
2020,동작,서울시 동작구 노량진로 148,동작구,강도,발생,1
2020,동작,서울시 동작구 노량진로 148,동작구,강간,발생,251
2020,동작,서울시 동작구 노량진로 148,동작구,절도,발생,1328
2020,동작,서울시 동작구 노량진로 148,동작구,폭력,발생,1816
2020,광진,서울시 광진구 자양로 167,광진구,살인,발생,4
2020,광진,서울시 광진구 자양로 167,광진구,강도,발생,6
2020,광진,서울시 광진구 자양로 167,광진구,강간,발생,272
2020,광진,서울시 광진구 자양로 167,광진구,절도,발생,1875
2020,광진,서울시 광진구 자양로 167,광진구,폭력,발생,1852
2020,서부,서울시 은평구 진흥로 58,은평구,살인,발생,1
2020,서부,서울시 은평구 진흥로 58,은평구,강도,발생,0
2020,서부,서울시 은평구 진흥로 58,은평구,강간,발생,62
2020,서부,서울시 은평구 진흥로 58,은평구,절도,발생,624
2020,서부,서울시 은평구 진흥로 58,은평구,폭력,발생,843
2020,강북,서울시 강북구 오패산로 406,강북구,살인,발생,6
2020,강북,서울시 강북구 오패산로 406,강북구,강도,발생,3
2020,강북,서울시 강북구 오패산로 406,강북구,강간,발생,175
