기간,자치구,발생_합계,검거_합계,살인_발생,살인_검거,강도_발생,강도_검거,강간강제추행_발생,강간강제추행_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
2020,종로구,3846,4117,4,5,7,8,237,1142,1515,1069,2082,1892
2020,중구,4327,2804,2,1,6,5,194,114,2202,1049,1922,1633
2020,용산구,3313,2611,3,3,3,4,271,236,999,544,2036,1822
2020,성동구,2512,1838,5,4,9,9,132,96,970,511,1394,1216
2020,광진구,4011,2816,4,4,6,5,272,213,1875,1008,1853,1585
2020,동대문구,3692,2818,5,5,10,9,168,143,1531,826,1977,1833
2020,중랑구,4268,3138,10,10,4,5,138,108,1666,907,2450,2107
2020,성북구,2877,2323,3,3,3,3,175,129,1082,731,1613,1456
2020,강북구,3838,3023,6,6,3,2,175,144,1229,663,2424,2206
2020,도봉구,2110,1497,1,1,5,5,90,83,790,394,1224,1014
2020,노원구,4153,2964,4,4,3,3,184,157,1498,681,2464,2118
2020,은평구,3880,3000,3,3,1,1,193,161,1565,976,2117,1857
2020,서대문구,2943,2020,2,1,5,4,174,153,1226,600,1535,1260
2020,마포구,4842,3170,2,2,2,2,494,416,2190,916,2153,1832
2020,양천구,3214,2124,5,5,2,2,126,111,1477,634,1602,1370
2020,강서구,4924,3543,7,8,3,4,305,256,2050,1077,2557,2196
2020,구로구,4707,3291,9,8,3,4,226,164,1916,964,2552,2148
2020,금천구,3105,2343,5,5,9,6,152,125,1157,615,1779,1590
2020,영등포구,5820,3787,10,10,3,3,355,238,2409,1067,3042,2467
2020,동작구,3400,2195,4,2,1,1,251,110,1328,579,1816,1503
2020,관악구,5328,3810,12,9,10,11,407,334,2223,1084,2674,2369
2020,서초구,5542,3750,5,5,7,5,615,411,2270,1117,2643,2209
2020,강남구,7304,5069,5,3,5,6,665,561,2970,1339,3658,3159
2020,송파구,5698,3799,7,8,10,10,272,229,2416,1016,2992,2535
2020,강동구,4014,2955,5,4,14,13,179,154,1650,906,2163,1874
