년,관서,주소,구,살인,강도,강간·추행,절도,폭력
2020,중부,서울시 중구 수표로 27,중구,0,0,0,47,19
2020,종로,서울시 종로구 율곡로 46,종로구,0,0,1,20,16
2020,남대문,서울시 중구 한강대로 410,중구,0,0,0,14,3
2020,서대문,서울 서대문구 통일로 113,서대문구,0,2,8,89,85
2020,혜화,서울시 종로구 창경궁로 112-16,종로구,0,0,2,19,17
2020,용산,서울시 용산구 원효로89길 24,용산구,0,4,3,21,35
2020,성북,서울 성북구 보문로 170,성북구,0,0,8,53,71
2020,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,1,4,112,125
2020,마포,서울시 마포구 마포대로 183,마포구,0,1,17,127,98
2020,영등포,서울시 영등포구 국회대로 608,영등포구,0,0,6,144,150
2020,성동,서울시 성동구 왕십리광장로 9,성동구,0,0,3,42,52
2020,동작,서울시 동작구 노량진로 148,동작구,0,0,9,72,112
2020,광진,서울시 광진구 자양로 167,광진구,0,1,11,115,190
2020,서부,서울시 은평구 진흥로 58,은평구,0,1,2,93,43
2020,강북,서울시 강북구 오패산로 406,강북구,0,0,7,82,147
2020,금천,서울시 금천구 시흥대로73길 50,금천구,1,0,5,65,76
2020,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0,4,4,137,154
2020,강남,서울시 강남구 테헤란로 114길 11,강남구,0,0,8,66,44
2020,관악,서울시 관악구 관악로5길 33,관악구,0,13,15,102,189
2020,강서,서울시 양천구 화곡로 73,양천구,1,2,11,228,167
2020,강동,서울시 강동구 성내로 57,강동구,0,19,10,176,155
2020,종암,서울시 성북구 종암로 135,성북구,1,0,2,61,79
2020,구로,서울시 구로구 가마산로 235,구로구,0,0,14,185,148
2020,서초,서울시 서초구 반포대로 179,서초구,0,0,15,63,79
2020,양천,서울시 양천구 목동동로 99,양천구,0,1,8,162,128
2020,송파,서울시 송파구 중대로 221,송파구,0,10,26,166,152
2020,노원,서울시 노원구 노원로 283,노원구,1,0,21,112,195
2020,방배,서울시 서초구 동작대로 204,서초구,0,0,0,19,22
2020,은평,서울시 은평구 연서로 365,은평구,0,0,15,133,109
2020,도봉,서울시 도봉구 노해로 403,도봉구,0,6,11,59,89
2020,수서,서울시 강남구 개포로 617,강남구,0,0,2,73,82
