년,관서,주소,구,죄종,발생검거,건수
2015,중부,서울시 중구 수표로 27,중구,살인,검거,2
2015,중부,서울시 중구 수표로 27,중구,강도,검거,2
2015,중부,서울시 중구 수표로 27,중구,강간,검거,65
2015,중부,서울시 중구 수표로 27,중구,절도,검거,477
2015,중부,서울시 중구 수표로 27,중구,폭력,검거,1170
2015,종로,서울시 종로구 율곡로 46,종로구,살인,검거,3
2015,종로,서울시 종로구 율곡로 46,종로구,강도,검거,5
2015,종로,서울시 종로구 율곡로 46,종로구,강간,검거,98
2015,종로,서울시 종로구 율곡로 46,종로구,절도,검거,413
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,검거,1070
2015,남대문,서울시 중구 한강대로 410,중구,살인,검거,0
2015,남대문,서울시 중구 한강대로 410,중구,강도,검거,4
2015,남대문,서울시 중구 한강대로 410,중구,강간,검거,46
2015,남대문,서울시 중구 한강대로 410,중구,절도,검거,382
2015,남대문,서울시 중구 한강대로 410,중구,폭력,검거,794
2015,서대문,서울 서대문구 통일로 113,서대문구,살인,검거,2
2015,서대문,서울 서대문구 통일로 113,서대문구,강도,검거,4
2015,서대문,서울 서대문구 통일로 113,서대문구,강간,검거,124
2015,서대문,서울 서대문구 통일로 113,서대문구,절도,검거,738
2015,서대문,서울 서대문구 통일로 113,서대문구,폭력,검거,1711
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,검거,2
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,검거,4
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,검거,63
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,검거,424
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,검거,861
2015,용산,서울시 용산구 원효로89길 24,용산구,살인,검거,5
2015,용산,서울시 용산구 원효로89길 24,용산구,강도,검거,14
2015,용산,서울시 용산구 원효로89길 24,용산구,강간,검거,173
2015,용산,서울시 용산구 원효로89길 24,용산구,절도,검거,587
2015,용산,서울시 용산구 원효로89길 24,용산구,폭력,검거,1704
2015,성북,서울 성북구 보문로 170,성북구,살인,검거,2
2015,성북,서울 성북구 보문로 170,성북구,강도,검거,1
2015,성북,서울 성북구 보문로 170,성북구,강간,검거,71
2015,성북,서울 성북구 보문로 170,성북구,절도,검거,409
2015,성북,서울 성북구 보문로 170,성북구,폭력,검거,1015
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,검거,5
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,검거,13
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,검거,146
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,검거,814
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,검거,2227
2015,마포,서울시 마포구 마포대로 183,마포구,살인,검거,8
2015,마포,서울시 마포구 마포대로 183,마포구,강도,검거,10
2015,마포,서울시 마포구 마포대로 183,마포구,강간,검거,247
2015,마포,서울시 마포구 마포대로 183,마포구,절도,검거,813
2015,마포,서울시 마포구 마포대로 183,마포구,폭력,검거,2519
2015,영등포,서울시 영등포구 국회대로 608,영등포구,살인,검거,12
2015,영등포,서울시 영등포구 국회대로 608,영등포구,강도,검거,20
2015,영등포,서울시 영등포구 국회대로 608,영등포구,강간,검거,183
2015,영등포,서울시 영등포구 국회대로 608,영등포구,절도,검거,978
2015,영등포,서울시 영등포구 국회대로 608,영등포구,폭력,검거,2961
2015,성동,서울시 성동구 왕십리광장로 9,성동구,살인,검거,4
2015,성동,서울시 성동구 왕십리광장로 9,성동구,강도,검거,8
2015,성동,서울시 성동구 왕십리광장로 9,성동구,강간,검거,119
2015,성동,서울시 성동구 왕십리광장로 9,성동구,절도,검거,597
2015,성동,서울시 성동구 왕십리광장로 9,성동구,폭력,검거,1395
2015,동작,서울시 동작구 노량진로 148,동작구,살인,검거,5
2015,동작,서울시 동작구 노량진로 148,동작구,강도,검거,5
2015,동작,서울시 동작구 노량진로 148,동작구,강간,검거,139
2015,동작,서울시 동작구 노량진로 148,동작구,절도,검거,661
2015,동작,서울시 동작구 노량진로 148,동작구,폭력,검거,1587
2015,광진,서울시 광진구 자양로 167,광진구,살인,검거,4
2015,광진,서울시 광진구 자양로 167,광진구,강도,검거,26
2015,광진,서울시 광진구 자양로 167,광진구,강간,검거,220
2015,광진,서울시 광진구 자양로 167,광진구,절도,검거,1277
2015,광진,서울시 광진구 자양로 167,광진구,폭력,검거,2180
2015,서부,서울시 은평구 진흥로 58,은평구,살인,검거,2
2015,서부,서울시 은평구 진흥로 58,은평구,강도,검거,1
2015,서부,서울시 은평구 진흥로 58,은평구,강간,검거,59
2015,서부,서울시 은평구 진흥로 58,은평구,절도,검거,293
2015,서부,서울시 은평구 진흥로 58,은평구,폭력,검거,1038
2015,강북,서울시 강북구 오패산로 406,강북구,살인,검거,8
2015,강북,서울시 강북구 오패산로 406,강북구,강도,검거,13
2015,강북,서울시 강북구 오패산로 406,강북구,강간,검거,126
2015,강북,서울시 강북구 오패산로 406,강북구,절도,검거,618
2015,강북,서울시 강북구 오패산로 406,강북구,폭력,검거,2348
2015,금천,서울시 금천구 시흥대로73길 50,금천구,살인,검거,4
2015,금천,서울시 금천구 시흥대로73길 50,금천구,강도,검거,6
2015,금천,서울시 금천구 시흥대로73길 50,금천구,강간,검거,122
2015,금천,서울시 금천구 시흥대로73길 50,금천구,절도,검거,888
2015,금천,서울시 금천구 시흥대로73길 50,금천구,폭력,검거,1776
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,살인,검거,12
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,강도,검거,9
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,강간,검거,148
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,절도,검거,829
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,폭력,검거,2407
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,살인,검거,3
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,강도,검거,12
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,강간,검거,225
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,절도,검거,984
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,폭력,검거,2146
2015,관악,서울시 관악구 관악로5길 33,관악구,살인,검거,8
2015,관악,서울시 관악구 관악로5길 33,관악구,강도,검거,14
2015,관악,서울시 관악구 관악로5길 33,관악구,강간,검거,221
2015,관악,서울시 관악구 관악로5길 33,관악구,절도,검거,827
2015,관악,서울시 관악구 관악로5길 33,관악구,폭력,검거,2642
2015,강서,서울시 양천구 화곡로 73,양천구,살인,검거,8
2015,강서,서울시 양천구 화곡로 73,양천구,강도,검거,13
2015,강서,서울시 양천구 화곡로 73,양천구,강간,검거,191
2015,강서,서울시 양천구 화곡로 73,양천구,절도,검거,1260
2015,강서,서울시 양천구 화곡로 73,양천구,폭력,검거,2718
2015,강동,서울시 강동구 성내로 57,강동구,살인,검거,3
2015,강동,서울시 강동구 성내로 57,강동구,강도,검거,8
2015,강동,서울시 강동구 성내로 57,강동구,강간,검거,123
2015,강동,서울시 강동구 성내로 57,강동구,절도,검거,789
2015,강동,서울시 강동구 성내로 57,강동구,폭력,검거,2248
2015,종암,서울시 성북구 종암로 135,성북구,살인,검거,3
2015,종암,서울시 성북구 종암로 135,성북구,강도,검거,3
2015,종암,서울시 성북구 종암로 135,성북구,강간,검거,53
2015,종암,서울시 성북구 종암로 135,성북구,절도,검거,332
2015,종암,서울시 성북구 종암로 135,성북구,폭력,검거,840
2015,구로,서울시 구로구 가마산로 235,구로구,살인,검거,6
2015,구로,서울시 구로구 가마산로 235,구로구,강도,검거,11
2015,구로,서울시 구로구 가마산로 235,구로구,강간,검거,164
2015,구로,서울시 구로구 가마산로 235,구로구,절도,검거,889
2015,구로,서울시 구로구 가마산로 235,구로구,폭력,검거,2432
2015,서초,서울시 서초구 반포대로 179,서초구,살인,검거,4
2015,서초,서울시 서초구 반포대로 179,서초구,강도,검거,5
2015,서초,서울시 서초구 반포대로 179,서초구,강간,검거,193
2015,서초,서울시 서초구 반포대로 179,서초구,절도,검거,905
2015,서초,서울시 서초구 반포대로 179,서초구,폭력,검거,1607
2015,양천,서울시 양천구 목동동로 99,양천구,살인,검거,5
2015,양천,서울시 양천구 목동동로 99,양천구,강도,검거,3
2015,양천,서울시 양천구 목동동로 99,양천구,강간,검거,105
2015,양천,서울시 양천구 목동동로 99,양천구,절도,검거,672
2015,양천,서울시 양천구 목동동로 99,양천구,폭력,검거,2030
2015,송파,서울시 송파구 중대로 221,송파구,살인,검거,10
2015,송파,서울시 송파구 중대로 221,송파구,강도,검거,10
2015,송파,서울시 송파구 중대로 221,송파구,강간,검거,178
2015,송파,서울시 송파구 중대로 221,송파구,절도,검거,1129
2015,송파,서울시 송파구 중대로 221,송파구,폭력,검거,2786
2015,노원,서울시 노원구 노원로 283,노원구,살인,검거,10
2015,노원,서울시 노원구 노원로 283,노원구,강도,검거,7
2015,노원,서울시 노원구 노원로 283,노원구,강간,검거,121
