년,관서,주소,구,죄종,발생검거,건수
2015,중부,서울시 중구 수표로 27,중구,살인,발생,2
2015,중부,서울시 중구 수표로 27,중구,강도,발생,3
2015,중부,서울시 중구 수표로 27,중구,강간,발생,105
2015,중부,서울시 중구 수표로 27,중구,절도,발생,1395
2015,중부,서울시 중구 수표로 27,중구,폭력,발생,1355
2015,종로,서울시 종로구 율곡로 46,종로구,살인,발생,3
2015,종로,서울시 종로구 율곡로 46,종로구,강도,발생,6
2015,종로,서울시 종로구 율곡로 46,종로구,강간,발생,115
2015,종로,서울시 종로구 율곡로 46,종로구,절도,발생,1070
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,발생,1278
2015,남대문,서울시 중구 한강대로 410,중구,살인,발생,1
2015,남대문,서울시 중구 한강대로 410,중구,강도,발생,6
2015,남대문,서울시 중구 한강대로 410,중구,강간,발생,65
2015,남대문,서울시 중구 한강대로 410,중구,절도,발생,1153
2015,남대문,서울시 중구 한강대로 410,중구,폭력,발생,869
2015,서대문,서울 서대문구 통일로 113,서대문구,살인,발생,2
2015,서대문,서울 서대문구 통일로 113,서대문구,강도,발생,5
2015,서대문,서울 서대문구 통일로 113,서대문구,강간,발생,154
2015,서대문,서울 서대문구 통일로 113,서대문구,절도,발생,1812
2015,서대문,서울 서대문구 통일로 113,서대문구,폭력,발생,2056
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,발생,3
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,발생,5
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,발생,96
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,발생,1114
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,발생,1015
2015,용산,서울시 용산구 원효로89길 24,용산구,살인,발생,5
2015,용산,서울시 용산구 원효로89길 24,용산구,강도,발생,14
2015,용산,서울시 용산구 원효로89길 24,용산구,강간,발생,194
2015,용산,서울시 용산구 원효로89길 24,용산구,절도,발생,1557
2015,용산,서울시 용산구 원효로89길 24,용산구,폭력,발생,2050
2015,성북,서울 성북구 보문로 170,성북구,살인,발생,2
2015,성북,서울 성북구 보문로 170,성북구,강도,발생,2
2015,성북,서울 성북구 보문로 170,성북구,강간,발생,86
2015,성북,서울 성북구 보문로 170,성북구,절도,발생,953
2015,성북,서울 성북구 보문로 170,성북구,폭력,발생,1194
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,발생,5
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,발생,13
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,발생,173
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,발생,1981
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,발생,2548
2015,마포,서울시 마포구 마포대로 183,마포구,살인,발생,8
2015,마포,서울시 마포구 마포대로 183,마포구,강도,발생,14
2015,마포,서울시 마포구 마포대로 183,마포구,강간,발생,294
2015,마포,서울시 마포구 마포대로 183,마포구,절도,발생,2555
2015,마포,서울시 마포구 마포대로 183,마포구,폭력,발생,2983
2015,영등포,서울시 영등포구 국회대로 608,영등포구,살인,발생,14
2015,영등포,서울시 영등포구 국회대로 608,영등포구,강도,발생,22
2015,영등포,서울시 영등포구 국회대로 608,영등포구,강간,발생,295
2015,영등포,서울시 영등포구 국회대로 608,영등포구,절도,발생,2964
2015,영등포,서울시 영등포구 국회대로 608,영등포구,폭력,발생,3572
2015,성동,서울시 성동구 왕십리광장로 9,성동구,살인,발생,4
2015,성동,서울시 성동구 왕십리광장로 9,성동구,강도,발생,9
2015,성동,서울시 성동구 왕십리광장로 9,성동구,강간,발생,126
2015,성동,서울시 성동구 왕십리광장로 9,성동구,절도,발생,1607
2015,성동,서울시 성동구 왕십리광장로 9,성동구,폭력,발생,1612
2015,동작,서울시 동작구 노량진로 148,동작구,살인,발생,5
2015,동작,서울시 동작구 노량진로 148,동작구,강도,발생,9
2015,동작,서울시 동작구 노량진로 148,동작구,강간,발생,285
2015,동작,서울시 동작구 노량진로 148,동작구,절도,발생,1865
2015,동작,서울시 동작구 노량진로 148,동작구,폭력,발생,1910
2015,광진,서울시 광진구 자양로 167,광진구,살인,발생,4
2015,광진,서울시 광진구 자양로 167,광진구,강도,발생,14
2015,광진,서울시 광진구 자양로 167,광진구,강간,발생,240
2015,광진,서울시 광진구 자양로 167,광진구,절도,발생,3026
2015,광진,서울시 광진구 자양로 167,광진구,폭력,발생,2625
2015,서부,서울시 은평구 진흥로 58,은평구,살인,발생,2
2015,서부,서울시 은평구 진흥로 58,은평구,강도,발생,2
2015,서부,서울시 은평구 진흥로 58,은평구,강간,발생,70
2015,서부,서울시 은평구 진흥로 58,은평구,절도,발생,819
2015,서부,서울시 은평구 진흥로 58,은평구,폭력,발생,1192
2015,강북,서울시 강북구 오패산로 406,강북구,살인,발생,7
2015,강북,서울시 강북구 오패산로 406,강북구,강도,발생,14
2015,강북,서울시 강북구 오패산로 406,강북구,강간,발생,153
2015,강북,서울시 강북구 오패산로 406,강북구,절도,발생,1434
2015,강북,서울시 강북구 오패산로 406,강북구,폭력,발생,2649
2015,금천,서울시 금천구 시흥대로73길 50,금천구,살인,발생,3
2015,금천,서울시 금천구 시흥대로73길 50,금천구,강도,발생,6
2015,금천,서울시 금천구 시흥대로73길 50,금천구,강간,발생,151
