년,관서,주소,구,죄종,연령,범죄자수
2015,중부,서울시 중구 수표로 27,중구,살인,14미만,0
2015,중부,서울시 중구 수표로 27,중구,살인,14세,0
2015,중부,서울시 중구 수표로 27,중구,살인,15세,0
2015,중부,서울시 중구 수표로 27,중구,살인,16세,0
2015,중부,서울시 중구 수표로 27,중구,살인,17세,0
2015,중부,서울시 중구 수표로 27,중구,살인,18세,0
2015,중부,서울시 중구 수표로 27,중구,살인,19세,0
2015,중부,서울시 중구 수표로 27,중구,살인,20세,0
2015,중부,서울시 중구 수표로 27,중구,살인,21~25,1
2015,중부,서울시 중구 수표로 27,중구,살인,26~30,0
2015,중부,서울시 중구 수표로 27,중구,살인,31~35,0
2015,중부,서울시 중구 수표로 27,중구,살인,36~40,1
2015,중부,서울시 중구 수표로 27,중구,살인,41~45,0
2015,중부,서울시 중구 수표로 27,중구,살인,46~50,0
2015,중부,서울시 중구 수표로 27,중구,살인,51~55,0
2015,중부,서울시 중구 수표로 27,중구,살인,56~60,0
2015,중부,서울시 중구 수표로 27,중구,살인,61~64,0
2015,중부,서울시 중구 수표로 27,중구,살인,65~70,0
2015,중부,서울시 중구 수표로 27,중구,살인,71이상,0
2015,중부,서울시 중구 수표로 27,중구,살인,미상,0
2015,중부,서울시 중구 수표로 27,중구,폭력,14미만,0
2015,중부,서울시 중구 수표로 27,중구,폭력,14세,1
2015,중부,서울시 중구 수표로 27,중구,폭력,15세,3
2015,중부,서울시 중구 수표로 27,중구,폭력,16세,6
2015,중부,서울시 중구 수표로 27,중구,폭력,17세,21
2015,중부,서울시 중구 수표로 27,중구,폭력,18세,11
2015,중부,서울시 중구 수표로 27,중구,폭력,19세,14
2015,중부,서울시 중구 수표로 27,중구,폭력,20세,21
2015,중부,서울시 중구 수표로 27,중구,폭력,21~25,137
2015,중부,서울시 중구 수표로 27,중구,폭력,26~30,186
2015,중부,서울시 중구 수표로 27,중구,폭력,31~35,216
2015,중부,서울시 중구 수표로 27,중구,폭력,36~40,160
2015,중부,서울시 중구 수표로 27,중구,폭력,41~45,232
2015,중부,서울시 중구 수표로 27,중구,폭력,46~50,238
2015,중부,서울시 중구 수표로 27,중구,폭력,51~55,250
2015,중부,서울시 중구 수표로 27,중구,폭력,56~60,204
2015,중부,서울시 중구 수표로 27,중구,폭력,61~64,78
2015,중부,서울시 중구 수표로 27,중구,폭력,65~70,74
2015,중부,서울시 중구 수표로 27,중구,폭력,71이상,48
2015,중부,서울시 중구 수표로 27,중구,폭력,미상,45
2015,종로,서울시 종로구 율곡로 46,종로구,살인,14미만,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,14세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,15세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,16세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,17세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,18세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,19세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,20세,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,21~25,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,26~30,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,31~35,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,36~40,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,41~45,1
2015,종로,서울시 종로구 율곡로 46,종로구,살인,46~50,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,51~55,1
2015,종로,서울시 종로구 율곡로 46,종로구,살인,56~60,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,61~64,1
2015,종로,서울시 종로구 율곡로 46,종로구,살인,65~70,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,71이상,0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,미상,0
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,14미만,0
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,14세,5
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,15세,5
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,16세,6
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,17세,9
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,18세,5
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,19세,10
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,20세,19
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,21~25,113
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,26~30,152
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,31~35,148
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,36~40,143
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,41~45,161
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,46~50,203
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,51~55,198
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,56~60,200
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,61~64,80
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,65~70,71
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,71이상,45
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,미상,42
2015,남대문,서울시 중구 한강대로 410,중구,살인,14미만,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,14세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,15세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,16세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,17세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,18세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,19세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,20세,0
2015,남대문,서울시 중구 한강대로 410,중구,살인,21~25,0
