년,관서,주소,구,살인,강도,강간·추행,절도,폭력
2015,중부,서울시 중구 수표로 27,중구,0 ,5 ,0 ,78 ,42 
2015,종로,서울시 종로구 율곡로 46,종로구,0 ,1 ,0 ,17 ,30 
2015,남대문,서울시 중구 한강대로 410,중구,0 ,0 ,0 ,30 ,4 
2015,서대문,서울 서대문구 통일로 113,서대문구,0 ,0 ,7 ,134 ,125 
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,0 ,0 ,2 ,34 ,31 
2015,용산,서울시 용산구 원효로89길 24,용산구,0 ,15 ,8 ,65 ,81 
2015,성북,서울 성북구 보문로 170,성북구,0 ,0 ,2 ,45 ,93 
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,0 ,1 ,8 ,180 ,113 
2015,마포,서울시 마포구 마포대로 183,마포구,0 ,5 ,9 ,131 ,100 
2015,영등포,서울시 영등포구 국회대로 608,영등포구,0 ,5 ,6 ,167 ,158 
2015,성동,서울시 성동구 왕십리광장로 9,성동구,0 ,3 ,3 ,74 ,81 
2015,동작,서울시 동작구 노량진로 148,동작구,0 ,0 ,5 ,155 ,87 
2015,광진,서울시 광진구 자양로 167,광진구,0 ,6 ,7 ,153 ,186 
2015,서부,서울시 은평구 진흥로 58,은평구,0 ,1 ,8 ,96 ,84 
2015,강북,서울시 강북구 오패산로 406,강북구,0 ,2 ,5 ,146 ,209 
2015,금천,서울시 금천구 시흥대로73길 50,금천구,3 ,0 ,7 ,173 ,90 
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0 ,1 ,24 ,195 ,150 
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,0 ,0 ,2 ,80 ,47 
2015,관악,서울시 관악구 관악로5길 33,관악구,0 ,6 ,16 ,163 ,166 
2015,강서,서울시 양천구 화곡로 73,양천구,0 ,15 ,16 ,303 ,274 
2015,강동,서울시 강동구 성내로 57,강동구,0 ,5 ,11 ,167 ,211 
2015,종암,서울시 성북구 종암로 135,성북구,1 ,2 ,2 ,88 ,59 
2015,구로,서울시 구로구 가마산로 235,구로구,0 ,0 ,9 ,279 ,172 
2015,서초,서울시 서초구 반포대로 179,서초구,0 ,0 ,6 ,67 ,40 
2015,양천,서울시 양천구 목동동로 99,양천구,0 ,1 ,7 ,223 ,209 
2015,송파,서울시 송파구 중대로 221,송파구,0 ,5 ,12 ,234 ,133 
2015,노원,서울시 노원구 노원로 283,노원구,1 ,0 ,11 ,278 ,315 
2015,방배,서울시 서초구 동작대로 204,서초구,0 ,0 ,3 ,43 ,44 
2015,은평,서울시 은평구 연서로 365,은평구,0 ,0 ,7 ,98 ,98 
2015,도봉,서울시 도봉구 노해로 403,도봉구,0 ,11 ,13 ,142 ,113 
2015,수서,서울시 강남구 개포로 617,강남구,0 ,2 ,3 ,123 ,85 
2016,중부,서울시 중구 수표로 27,중구,0 ,0 ,1 ,44 ,42 
2016,종로,서울시 종로구 율곡로 46,종로구,0 ,3 ,4 ,34 ,57 
2016,남대문,서울시 중구 한강대로 410,중구,0 ,0 ,0 ,43 ,4 
2016,서대문,서울 서대문구 통일로 113,서대문구,0 ,4 ,5 ,142 ,103 
2016,혜화,서울시 종로구 창경궁로 112-16,종로구,0 ,2 ,2 ,38 ,29 
2016,용산,서울시 용산구 원효로89길 24,용산구,0 ,4 ,4 ,56 ,70 
2016,성북,서울 성북구 보문로 170,성북구,0 ,1 ,5 ,69 ,99 
2016,동대문,서울시 동대문구 약령시로21길 29,동대문구,1 ,1 ,5 ,126 ,76 
2016,마포,서울시 마포구 마포대로 183,마포구,0 ,0 ,13 ,156 ,164 
2016,영등포,서울시 영등포구 국회대로 608,영등포구,0 ,0 ,6 ,119 ,118 
2016,성동,서울시 성동구 왕십리광장로 9,성동구,0 ,0 ,11 ,105 ,73 
2016,동작,서울시 동작구 노량진로 148,동작구,1 ,3 ,6 ,107 ,65 
2016,광진,서울시 광진구 자양로 167,광진구,0 ,0 ,29 ,155 ,153 
2016,서부,서울시 은평구 진흥로 58,은평구,0 ,0 ,4 ,120 ,131 
2016,강북,서울시 강북구 오패산로 406,강북구,0 ,0 ,9 ,166 ,210 
2016,금천,서울시 금천구 시흥대로73길 50,금천구,0 ,0 ,7 ,146 ,66 
2016,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,1 ,0 ,9 ,179 ,193 
2016,강남,서울시 강남구 테헤란로 114길 11,강남구,0 ,0 ,9 ,67 ,37 
2016,관악,서울시 관악구 관악로5길 33,관악구,0 ,2 ,14 ,170 ,209 
2016,강서,서울시 양천구 화곡로 73,양천구,0 ,3 ,9 ,273 ,240 
2016,강동,서울시 강동구 성내로 57,강동구,0 ,3 ,6 ,193 ,158 
2016,종암,서울시 성북구 종암로 135,성북구,0 ,5 ,6 ,59 ,40 
2016,구로,서울시 구로구 가마산로 235,구로구,0 ,1 ,3 ,157 ,194 
2016,서초,서울시 서초구 반포대로 179,서초구,0 ,1 ,7 ,39 ,66 
2016,양천,서울시 양천구 목동동로 99,양천구,0 ,0 ,8 ,169 ,144 
2016,송파,서울시 송파구 중대로 221,송파구,0 ,6 ,8 ,196 ,165 
2016,노원,서울시 노원구 노원로 283,노원구,0 ,6 ,14 ,227 ,337 
2016,방배,서울시 서초구 동작대로 204,서초구,0 ,0 ,0 ,32 ,9 
2016,은평,서울시 은평구 연서로 365,은평구,0 ,0 ,8 ,99 ,121 
2016,도봉,서울시 도봉구 노해로 403,도봉구,0 ,6 ,21 ,126 ,107 
2016,수서,서울시 강남구 개포로 617,강남구,0 ,6 ,10 ,73 ,139 
2017,중부,서울시 중구 수표로 27,중구,0 ,0 ,4 ,12 ,19 
2017,종로,서울시 종로구 율곡로 46,종로구,0 ,0 ,5 ,19 ,21 
2017,남대문,서울시 중구 한강대로 410,중구,0 ,0 ,2 ,24 ,11 
2017,서대문,서울 서대문구 통일로 113,서대문구,0 ,0 ,3 ,98 ,97 
2017,혜화,서울시 종로구 창경궁로 112-16,종로구,0 ,0 ,1 ,20 ,38 
2017,용산,서울시 용산구 원효로89길 24,용산구,0 ,0 ,8 ,59 ,89 
2017,성북,서울 성북구 보문로 170,성북구,0 ,0 ,9 ,77 ,114 
2017,동대문,서울시 동대문구 약령시로21길 29,동대문구,1 ,0 ,8 ,117 ,131 
2017,마포,서울시 마포구 마포대로 183,마포구,0 ,0 ,19 ,169 ,122 
2017,영등포,서울시 영등포구 국회대로 608,영등포구,0 ,0 ,6 ,139 ,103 
2017,성동,서울시 성동구 왕십리광장로 9,성동구,0 ,0 ,5 ,87 ,85 
2017,동작,서울시 동작구 노량진로 148,동작구,0 ,1 ,9 ,138 ,142 
2017,광진,서울시 광진구 자양로 167,광진구,0 ,0 ,9 ,144 ,174 
2017,서부,서울시 은평구 진흥로 58,은평구,0 ,0 ,12 ,52 ,90 
2017,강북,서울시 강북구 오패산로 406,강북구,0 ,0 ,6 ,116 ,189 
2017,금천,서울시 금천구 시흥대로73길 50,금천구,0 ,1 ,10 ,133 ,132 
2017,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0 ,0 ,9 ,138 ,203 
2017,강남,서울시 강남구 테헤란로 114길 11,강남구,0 ,1 ,5 ,53 ,29 
2017,관악,서울시 관악구 관악로5길 33,관악구,0 ,0 ,8 ,163 ,245 
2017,강서,서울시 양천구 화곡로 73,양천구,0 ,0 ,14 ,284 ,203 
2017,강동,서울시 강동구 성내로 57,강동구,0 ,3 ,7 ,107 ,137 
2017,종암,서울시 성북구 종암로 135,성북구,0 ,0 ,2 ,74 ,46 
2017,구로,서울시 구로구 가마산로 235,구로구,0 ,4 ,5 ,131 ,190 
2017,서초,서울시 서초구 반포대로 179,서초구,0 ,0 ,6 ,53 ,54 
2017,양천,서울시 양천구 목동동로 99,양천구,0 ,0 ,15 ,124 ,228 
2017,송파,서울시 송파구 중대로 221,송파구,0 ,0 ,12 ,194 ,179 
2017,노원,서울시 노원구 노원로 283,노원구,0 ,0 ,6 ,172 ,346 
2017,방배,서울시 서초구 동작대로 204,서초구,0 ,0 ,5 ,24 ,35 
2017,은평,서울시 은평구 연서로 365,은평구,0 ,0 ,4 ,116 ,120 
2017,도봉,서울시 도봉구 노해로 403,도봉구,0 ,0 ,16 ,106 ,98 
2017,수서,서울시 강남구 개포로 617,강남구,0 ,1 ,6 ,88 ,127 
2018,중부,서울시 중구 수표로 27,중구,0 ,1 ,1 ,41 ,19 
2018,종로,서울시 종로구 율곡로 46,종로구,0 ,0 ,3 ,17 ,13 
2018,남대문,서울시 중구 한강대로 410,중구,0 ,0 ,0 ,16 ,7 
