기간,구분,일반가구수,1인,2인,3인,4인,5인,6인,7인 이상,평균가구원수
2017,종로구,62372 ,23638 ,15697 ,11268 ,8636 ,2351 ,601 ,181 ,2 
2017,중구,52208 ,20164 ,13623 ,9498 ,6696 ,1660 ,445 ,122 ,2 
2017,용산구,91102 ,33076 ,24058 ,17316 ,12585 ,3154 ,724 ,189 ,2 
2017,성동구,120957 ,39067 ,30728 ,25452 ,19855 ,4437 ,1115 ,303 ,2 
2017,광진구,147846 ,54866 ,34309 ,28746 ,23244 ,5191 ,1151 ,339 ,2 
2017,동대문구,145294 ,54030 ,34391 ,27589 ,21820 ,5617 ,1458 ,389 ,2 
2017,중랑구,159035 ,47543 ,42102 ,34301 ,26685 ,6603 ,1402 ,399 ,2 
2017,성북구,172973 ,54243 ,41856 ,36766 ,30370 ,7383 ,1839 ,516 ,2 
2017,강북구,127281 ,39082 ,34386 ,27070 ,20164 ,5059 ,1202 ,318 ,2 
2017,도봉구,125974 ,29469 ,34622 ,30336 ,24408 ,5554 ,1222 ,363 ,3 
2017,노원구,202955 ,49265 ,50990 ,48297 ,43178 ,9065 ,1759 ,401 ,3 
2017,은평구,179641 ,46535 ,49163 ,41144 ,32289 ,8115 ,1857 ,538 ,3 
2017,서대문구,126672 ,43418 ,31366 ,25369 ,20065 ,4941 ,1161 ,352 ,2 
2017,마포구,152814 ,54162 ,38271 ,29979 ,23392 ,5516 ,1167 ,327 ,2 
2017,양천구,162045 ,33088 ,39456 ,41391 ,37771 ,8261 ,1660 ,418 ,3 
2017,강서구,231739 ,68237 ,59781 ,50963 ,40778 ,9470 ,1974 ,536 ,2 
2017,구로구,156110 ,42984 ,40714 ,34809 ,28676 ,6884 ,1586 ,457 ,3 
2017,금천구,95331 ,32928 ,23735 ,19236 ,14787 ,3595 ,819 ,231 ,2 
2017,영등포구,147559 ,51151 ,36710 ,30068 ,22879 ,5277 ,1172 ,302 ,2 
2017,동작구,160062 ,54355 ,38981 ,32470 ,26368 ,6126 ,1402 ,360 ,2 
2017,관악구,232212 ,106865 ,53069 ,36587 ,27139 ,6515 ,1584 ,453 ,2 
2017,서초구,155513 ,39702 ,38291 ,35950 ,31968 ,7412 ,1685 ,505 ,3 
2017,강남구,207369 ,62774 ,50634 ,44795 ,38367 ,8529 ,1770 ,500 ,3 
2017,송파구,237516 ,58848 ,59153 ,56774 ,49044 ,10760 ,2333 ,604 ,3 
2017,강동구,160680 ,41050 ,40892 ,37455 ,31756 ,7517 ,1561 ,449 ,3 
2018,종로구,63773 ,25326 ,15957 ,11241 ,8286 ,2228 ,573 ,162 ,2 
2018,중구,53102 ,20803 ,14101 ,9601 ,6463 ,1591 ,433 ,110 ,2 
2018,용산구,92500 ,34240 ,24574 ,17717 ,12098 ,3019 ,681 ,171 ,2 
2018,성동구,123963 ,40706 ,32135 ,26002 ,19548 ,4273 ,1035 ,264 ,2 
2018,광진구,148735 ,56337 ,35093 ,28596 ,22354 ,4947 ,1079 ,329 ,2 
2018,동대문구,146974 ,55593 ,35628 ,27612 ,21139 ,5341 ,1321 ,340 ,2 
2018,중랑구,159444 ,49207 ,42934 ,34055 ,25381 ,6159 ,1353 ,355 ,2 
2018,성북구,171943 ,55136 ,42140 ,36301 ,29176 ,7067 ,1665 ,458 ,2 
2018,강북구,127551 ,40872 ,34781 ,26543 ,19222 ,4748 ,1077 ,308 ,2 
2018,도봉구,126286 ,30848 ,35343 ,30077 ,23237 ,5292 ,1146 ,343 ,3 
2018,노원구,202326 ,51280 ,51939 ,47672 ,40995 ,8517 ,1542 ,381 ,3 
2018,은평구,181338 ,48888 ,50617 ,40750 ,31086 ,7833 ,1682 ,482 ,3 
2018,서대문구,127197 ,44795 ,31734 ,25206 ,19423 ,4641 ,1082 ,316 ,2 
2018,마포구,154940 ,56837 ,38861 ,29938 ,22671 ,5233 ,1108 ,292 ,2 
2018,양천구,162039 ,34304 ,40185 ,41534 ,36359 ,7768 ,1502 ,387 ,3 
2018,강서구,235754 ,73011 ,62155 ,50204 ,39017 ,9061 ,1807 ,499 ,2 
2018,구로구,156235 ,44151 ,41836 ,34633 ,27310 ,6479 ,1425 ,401 ,3 
2018,금천구,96298 ,34564 ,24305 ,18948 ,14102 ,3388 ,769 ,222 ,2 
2018,영등포구,149831 ,53477 ,37774 ,29904 ,22271 ,5038 ,1086 ,281 ,2 
2018,동작구,161495 ,56872 ,39300 ,32597 ,25296 ,5811 ,1277 ,342 ,2 
2018,관악구,236761 ,112733 ,54106 ,35925 ,25997 ,6172 ,1451 ,377 ,2 
2018,서초구,155418 ,41137 ,38475 ,35620 ,31029 ,7112 ,1598 ,447 ,3 
2018,강남구,203083 ,62727 ,50076 ,43542 ,36572 ,8063 ,1664 ,439 ,2 
2018,송파구,243547 ,63451 ,61970 ,56824 ,48156 ,10366 ,2235 ,545 ,3 
2018,강동구,159233 ,42126 ,41450 ,36503 ,30197 ,7084 ,1468 ,405 ,3 
2019,종로구,62652 ,24671 ,16208 ,11154 ,7828 ,2143 ,505 ,143 ,2 
