유형,전체 기관명,도로명 주소,행정 구,행정 동,위도,경도
동,서울특별시 성북구 돈암2동주민센터,서울특별시 성북구 흥천사길 7 (돈암동),성북구,돈암2동,37.598012234497105,127.010536367878
동,서울특별시 성북구 동선동주민센터,서울특별시 성북구 동소문로26길 27 (동선동),성북구,동선동,37.5939809454157,127.02040928557501
동,서울특별시 성북구 보문동주민센터,서울특별시 성북구 보문동7가 108-1 (보문동),성북구,보문동,37.58038328889021,127.022829270021
동,서울특별시 성북구 삼선동주민센터,서울특별시 성북구 보문로 190 (삼선동),성북구,삼선동,37.5908443043778,127.014641255314
보건소,서울특별시 중구 보건소,서울특별시 중구 다산로 39길 16 (무학동),중구,신당동,37.5645877895091,127.01509615208799
보건지소,서울특별시 관악구 보건소 보건지소,서울특별시 관악구 관악로 279-7,관악구,낙성대동,37.48867101616621,126.957540115887
보건지소,서울특별시 광진구 보건소 보건지소,서울특별시 광진구 긴고랑로 110 (중곡동),광진구,중곡2동,37.559338422603204,127.087091568985
보건지소,서울특별시 노원구 보건소 공릉보건지소,서울특별시 노원구 공릉로 166-1 (공릉동),노원구,공릉2동,37.6247883871629,127.08000267866801
보건지소,서울특별시 노원구 보건소 상계보건지소,서울특별시 노원구 상계로 118 (상계동),노원구,상계2동,37.657481165385214,127.067862728861
보건지소,서울특별시 노원구 보건소 월계보건지소,서울특별시 노원구 월계로 378 (월계동),노원구,월계3동,37.6314510954508,127.061591769685
보건지소,서울특별시 도봉구 보건소 보건지소,서울특별시 도봉구 덕릉로59길73-3 (창동),도봉구,창4동,37.6414062720864,127.035648110726
보건지소,서울특별시 서대문구 보건소 가좌보건지소,서울특별시 서대문구 수색로100-55 (북가좌동),서대문구,천연동,37.5743684063236,126.910136522518
보건지소,서울특별시 서초구 보건소 방배보건지소,서울특별시 서초구 방배로 173,서초구,방배4동,37.489007875214895,126.99224269252701
보건지소,서울특별시 성북구 보건소 보건지소,서울특별시 성북구 아리랑로 3길 8 (동소문동 6가),성북구,동선동,37.59360590063871,127.015752539505
보건지소,서울특별시 송파구 보건소 보건지소,서울특별시 송파구 양산로 5 (거여동),송파구,거여1동,37.4897692715583,127.14267042380199
보건지소,서울특별시 은평구 보건소 보건지소,서울특별시 은평구 연서로34길 11 (불광동),은평구,불광2동,37.621561100964996,126.92769064119801
소방서,서울특별시 강남소방서,서울특별시 강남구 테헤란로 629 (삼성동),강남구,삼성1동,37.51027719480809,127.06682887317601
소방서,서울특별시 강동소방서,서울특별시 강동구 성내로 39 (성내동),강동구,성내1동,37.52937858438421,127.125282648794
소방서,서울특별시 강북소방서,서울특별시 도봉구 도봉로 666,도봉구,방학1동,37.6636453552882,127.043096984986
소방서,서울특별시 강서소방서,서울특별시 강서구 양천로 550,강서구,등촌1동,37.5579606361409,126.85975811233801
소방서,서울특별시 관악소방서,서울특별시 관악구 관악로 97,관악구,청룡동,37.4741266608285,126.952686760258
소방서,서울특별시 광진소방서,서울특별시 광진구 광나루로 480,광진구,구의1동,37.544827349139204,127.082778686238
소방서,서울특별시 구로소방서,서울특별시 구로구 경인로 408,구로구,고척1동,37.4977924053507,126.865215227799
소방서,서울특별시 노원소방서,서울특별시 노원구 한글비석로1길 8,노원구,하계1동,37.6382551285826,127.071107339414
소방서,서울특별시 도봉소방서,서울특별시 도봉구 도봉로 666,도봉구,방학1동,37.6636453552882,127.043096984986
소방서,서울특별시 동대문소방서,서울특별시 동대문구 장한로 34,동대문구,장안1동,37.56384208130429,127.06670998921301
소방서,서울특별시 동작소방서,서울특별시 동작구 여의대방로16길 55,동작구,신대방2동,37.49467377596179,126.91771897742599
소방서,서울특별시 마포소방서,서울특별시 마포구 창전로 76,마포구,신수동,37.5490736784942,126.933228592582
소방서,서울특별시 서대문소방서,서울특별시 서대문구 연희로 182,서대문구,연희동,37.5732058691259,126.93599647490801
소방서,서울특별시 서초소방서,서울특별시 서초구 사평대로 67,서초구,반포2동,37.498788841328505,126.992025168116
소방서,서울특별시 성북소방서,서울특별시 성북구 종암로 27길 3,성북구,종암동,37.6024214065716,127.03174699673401
소방서,서울특별시 소방서,서울특별시 중구 퇴계로26길 52,중구,필동,37.5589208943841,126.988996110864
