,,인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
2017,1,20160715,영업,0,서울특별시 서초구 양재동 220-1번지,서울특별시 서초구 매헌로1길 30 1층 (양재동),MMTH 양재시민의 숲,제과제빵
2017,3,20160901,폐업,20200720,서울특별시 은평구 대조동 205-18 지하1층1층,서울특별시 은평구 통일로73길 26 지하11층 (대조동),Fibonacci(피보나치),제과제빵
2017,9,20170823,영업,0,서울특별시 강남구 삼성동 26-33번지,서울특별시 강남구 삼성로115길 40 지상1층 (삼성동),비건이삼(Vegan23),제과제빵
2017,10,20160408,영업,0,서울특별시 서초구 방배동 909-9번지 지하1 층,서울특별시 서초구 방배로 81 지하1층 (방배동),노블피시방,제과제빵
2017,11,19900329,영업,0,서울특별시 종로구 평창동 73-2번지 ,,동화킴스,제과제빵
2017,12,20070308,영업,0,서울특별시 종로구 창신동 243번지 ,서울특별시 종로구 지봉로 43 (창신동),파리바게뜨-동묘역점,제과제빵
2017,23,20100304,영업,0,서울특별시 종로구 평동 108-1번지 강북삼성병원  본관1층 ,서울특별시 종로구 새문안로 29 (평동강북삼성병원  본관1층),파스쿠찌 강북삼성병원점,제과제빵
2017,24,20110907,영업,0,서울특별시 종로구 삼청동 106번지 지상1층2층 ,서울특별시 종로구 삼청로 109 (삼청동지상1층2층),(주)커피빈코리아 삼청동점,제과제빵
2017,25,20170214,영업,0,서울특별시 종로구 서린동 63번지 1층 ,서울특별시 종로구 종로 38 1층 (서린동),카페 다솜이야기,제과제빵
2017,26,20101001,영업,0,서울특별시 종로구 돈의동 137번지 (지하4층) ,서울특별시 종로구 돈화문로5가길 1 (돈의동(지하4층)),CGV 피카디리1958,제과제빵
2017,27,20110323,영업,0,서울특별시 종로구 연건동 28-21번지 서울대학교병원 암병원(지하2층) ,서울특별시 종로구 대학로 101 (연건동서울대학교병원 암병원(지하2층)),아로마띠꼬,제과제빵
2017,28,20170203,영업,0,서울특별시 종로구 관철동 180번지 6층 ,서울특별시 종로구 삼일대로17길 51 6층 (관철동),쓰리팝 3 POP,제과제빵
