인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200615,영업,0,서울특별시 강서구 내발산동 654-4 1층 13호,서울특별시 강서구 강서로 349 1층 13호 (내발산동),메가엠지씨커피 이대서울병원점,제과제빵
20160715,영업,0,서울특별시 서초구 양재동 220-1번지,서울특별시 서초구 매헌로1길 30 1층 (양재동),MMTH 양재시민의 숲,제과제빵
20200720,영업,0,서울특별시 성동구 하왕십리동 1070 센트라스,서울특별시 성동구 왕십리로 410 L동 1층 125호 (하왕십리동 센트라스),공차(왕십리센트라스점),제과제빵
20160901,폐업,20200720,서울특별시 은평구 대조동 205-18 지하1층1층,서울특별시 은평구 통일로73길 26 지하11층 (대조동),Fibonacci(피보나치),제과제빵
20200721,영업,0,서울특별시 강남구 신사동 532-7,서울특별시 강남구 가로수길 69 1층 (신사동),(주)나이스커피시스템,제과제빵
20200721,영업,0,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류,서울특별시 강남구 테헤란로4길 46 129호 (역삼동 쌍용플래티넘밸류),주식회사 제이에스아트테인먼트,제과제빵
20200514,영업,0,서울특별시 마포구 염리동 148-27,서울특별시 마포구 백범로 129 1층 (염리동),빵쌀롱,제과제빵
20200722,영업,0,서울특별시 강북구 미아동 126-46 한일빌딩,서울특별시 강북구 도봉로 166 한일빌딩 1층 (미아동),파블로,제과제빵
20200722,영업,0,서울특별시 도봉구 창동 731-72,서울특별시 도봉구 도봉로 586 1층 (창동),깡통커피,제과제빵
20170823,영업,0,서울특별시 강남구 삼성동 26-33번지,서울특별시 강남구 삼성로115길 40 지상1층 (삼성동),비건이삼(Vegan23),제과제빵
20160408,영업,0,서울특별시 서초구 방배동 909-9번지 지하1 층,서울특별시 서초구 방배로 81 지하1층 (방배동),노블피시방,제과제빵
19900329,영업,0,서울특별시 종로구 평창동 73-2번지 ,,동화킴스,제과제빵
20070308,영업,0,서울특별시 종로구 창신동 243번지 ,서울특별시 종로구 지봉로 43 (창신동),파리바게뜨-동묘역점,제과제빵
20190705,영업,0,서울특별시 종로구 도렴동 60번지 도렴빌딩 지하1층동 31호,서울특별시 종로구 새문안로5길 37 도렴빌딩 지하1층 31호 (도렴동),작은주방,제과제빵
20190729,영업,0,서울특별시 종로구 창신동 142-32번지 ,서울특별시 종로구 종로51길 20 1층 (창신동),못난이 닭강정,제과제빵
20190118,영업,0,서울특별시 종로구 인의동 112-1번지 더케이손해보험빌딩 ,서울특별시 종로구 창경궁로 117 더케이손해보험빌딩 1층 (인의동),바빈스커피 종로 Thek 손해보험점,제과제빵
20190208,영업,0,서울특별시 종로구 혜화동 114-2번지 1층 ,서울특별시 종로구 창경궁로 271-1 1층 (혜화동),위트 앤 시니컬,제과제빵
20190115,폐업,20200904,서울특별시 종로구 명륜2가 230,서울특별시 종로구 성균관로 1 1층 (명륜2가),GS25 성대입구점,제과제빵
20190410,영업,0,서울특별시 종로구 평동 233번지 경희궁자이 3단지 ,서울특별시 종로구 경교장길 35 1층 3101호 (평동 경희궁자이 3단지),씨유 경희궁자이 행복점,제과제빵
20190307,영업,0,서울특별시 종로구 누하동 255번지 ,서울특별시 종로구 필운대로 25-2 (누하동),오디디(odd),제과제빵
20190325,영업,0,서울특별시 종로구 명륜2가 130번지 ,서울특별시 종로구 성균관로 26-4 1층 104호 (명륜2가),저스틴,제과제빵
20190130,영업,0,서울특별시 종로구 종로2가 6번지 종로타워 지하2층 212-2호,서울특별시 종로구 종로 51 종로타워 지하2층 212-2호 (종로2가),요거트맨 종로서적점,제과제빵
20190201,영업,0,서울특별시 종로구 공평동 17번지 ,서울특별시 종로구 우정국로 26 지하2층 리테일14호 (공평동),엔제리너스 센트로폴리스점,제과제빵
20100304,영업,0,서울특별시 종로구 평동 108-1번지 강북삼성병원  본관1층 ,서울특별시 종로구 새문안로 29 (평동강북삼성병원  본관1층),파스쿠찌 강북삼성병원점,제과제빵
20110907,영업,0,서울특별시 종로구 삼청동 106번지 지상1층2층 ,서울특별시 종로구 삼청로 109 (삼청동지상1층2층),(주)커피빈코리아 삼청동점,제과제빵
20170214,영업,0,서울특별시 종로구 서린동 63번지 1층 ,서울특별시 종로구 종로 38 1층 (서린동),카페 다솜이야기,제과제빵
20101001,영업,0,서울특별시 종로구 돈의동 137번지 (지하4층) ,서울특별시 종로구 돈화문로5가길 1 (돈의동(지하4층)),CGV 피카디리1958,제과제빵
