인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200713,영업,0,서울특별시 성북구 길음동 1280-6 대우상가,서울특별시 성북구 길음로 103 대우상가 상가동 1층 105106호 (길음동),씨유 길음푸르지오점,카페
20200713,영업,0,서울특별시 송파구 방이동 44-3 현대토픽스,서울특별시 송파구 위례성대로 6 1층 (방이동),스타벅스 몽촌토성역점,카페
20200713,영업,0,서울특별시 동대문구 전농동 38-104,서울특별시 동대문구 전농로16길 54 1층 (전농동),Min's coffee,카페
20200713,영업,0,서울특별시 강서구 마곡동 773 힐스테이트에코마곡역 302호,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역 3층 302호 (마곡동),티오르카페,카페
20200713,영업,0,서울특별시 성북구 성북동 8-28,서울특별시 성북구 선잠로2다길 13-13 지하1층 (성북동),오버스토리,카페
20200713,영업,0,서울특별시 용산구 한강로3가 40-605,서울특별시 용산구 한강대로7길 6 1층 (한강로3가),라라,카페
20200713,영업,0,서울특별시 서초구 양재동 288-4 종성빌딩1층 101호,서울특별시 서초구 논현로 41 종성빌딩 1층 101호 (양재동),호키포키,카페
20200713,영업,0,서울특별시 중랑구 묵동 156-8,서울특별시 중랑구 공릉로14길 20-13 1층 (묵동),온브레이크(On Break),카페
20200713,영업,0,서울특별시 동작구 상도1동 360-3,서울특별시 동작구 상도로45길 10 1층 4호 (상도1동),르뱅,카페
20200709,영업,0,서울특별시 영등포구 당산동 32-2,,미니스톱한강양화2점,카페
20200707,폐업,20200712,서울특별시 강남구 삼성동 159 코엑스,서울특별시 강남구 영동대로 513 코엑스 A홀 지상1층 (삼성동),빈스빈스경기도미술관점(세븐스에비뉴),카페
20200316,영업,0,서울특별시 송파구 가락동 78 아이티벤처타워,서울특별시 송파구 중대로 135 아이티벤처타워 1층 동관101-42호 (가락동),COMPOSE 경찰병원점,카페
20191106,영업,0,서울특별시 강북구 미아동 311-14,서울특별시 강북구 삼양로54길 124 1층 (미아동),컴 어크로스(come across),카페
20190607,폐업,20200713,서울특별시 강북구 미아동 303-11,서울특별시 강북구 솔매로 118-1 1층 101호 (미아동),추억 82,카페
20190415,폐업,20200713,서울특별시 용산구 한강로2가 107-2,서울특별시 용산구 한강대로44길 11 101호 (한강로2가),숨다,카페
20190415,영업,0,서울특별시 강남구 일원동 644-7,서울특별시 강남구 양재대로53길 10 1층 101호 (일원동),숨다,카페
20171031,영업,0,서울특별시 중구 장충동2가 173-2 아도라타워 1층 103 104호,서울특별시 중구 퇴계로 272 (장충동2가 아도라타워 1층 103 104호),카페드블록,카페
20160620,영업,0,서울특별시 도봉구 방학동 632-57 1층,서울특별시 도봉구 도당로13길 17 1층 (방학동),카페캠퍼(도깨비시장점),카페
20121228,폐업,20200713,서울특별시 구로구 구로동 170-10 대륭포스트타워7차 109호,서울특별시 구로구 디지털로33길 48 1층 109호 (구로동 대륭포스트타워7차),까페라함,카페
20120418,영업,0,서울특별시 금천구 독산동 1006-59,서울특별시 금천구 범안로12가길 49 지상2층 (독산동),국수카페,카페
20110211,폐업,20200713,서울특별시 종로구 화동 138-12 (2층),서울특별시 종로구 북촌로5길 45 (화동(2층)),오제불,카페
20200714,영업,0,서울특별시 금천구 시흥동 870-8 삼원빌딩,서울특별시 금천구 시흥대로 270 삼원빌딩 지상2층 (시흥동),카페리본,카페
20200714,영업,0,서울특별시 서초구 양재동 273-2 1층,서울특별시 서초구 마방로10길 42 1층 (양재동),이디야 포이점,카페
