인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20200713,영업,0,서울특별시 성북구 길음동 1280-6 대우상가,서울특별시 성북구 길음로 103 대우상가 상가동 1층 105106호 (길음동),씨유 길음푸르지오점,카페,127.018017662024,37.610923566401
20200713,영업,0,서울특별시 송파구 방이동 44-3 현대토픽스,서울특별시 송파구 위례성대로 6 1층 (방이동),스타벅스 몽촌토성역점,카페,127.113106002269,37.5169424586722
20200713,영업,0,서울특별시 동대문구 전농동 38-104,서울특별시 동대문구 전농로16길 54 1층 (전농동),Min's coffee,카페,127.060377827267,37.5781116025386
20200713,영업,0,서울특별시 강서구 마곡동 773 힐스테이트에코마곡역 302호,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역 3층 302호 (마곡동),티오르카페,카페,126.827508501448,37.5603955888014
20200713,영업,0,서울특별시 성북구 성북동 8-28,서울특별시 성북구 선잠로2다길 13-13 지하1층 (성북동),오버스토리,카페,126.999677608794,37.5987530158035
20200713,영업,0,서울특별시 용산구 한강로3가 40-605,서울특별시 용산구 한강대로7길 6 1층 (한강로3가),라라,카페,126.962546041804,37.5242864564672
20200713,영업,0,서울특별시 서초구 양재동 288-4 종성빌딩1층 101호,서울특별시 서초구 논현로 41 종성빌딩 1층 101호 (양재동),호키포키,카페,127.047710606881,37.4742506975703
20200713,영업,0,서울특별시 중랑구 묵동 156-8,서울특별시 중랑구 공릉로14길 20-13 1층 (묵동),온브레이크(On Break),카페,127.08085448132,37.6174565296127
20200713,영업,0,서울특별시 동작구 상도1동 360-3,서울특별시 동작구 상도로45길 10 1층 4호 (상도1동),르뱅,카페,126.951003903016,37.5003768801038
20200707,폐업,20200712,서울특별시 강남구 삼성동 159 코엑스,서울특별시 강남구 영동대로 513 코엑스 A홀 지상1층 (삼성동),빈스빈스경기도미술관점(세븐스에비뉴),카페,127.058819250731,37.5125211887102
20200316,영업,0,서울특별시 송파구 가락동 78 아이티벤처타워,서울특별시 송파구 중대로 135 아이티벤처타워 1층 동관101-42호 (가락동),COMPOSE 경찰병원점,카페,127.122442831708,37.4951096443466
20191106,영업,0,서울특별시 강북구 미아동 311-14,서울특별시 강북구 삼양로54길 124 1층 (미아동),컴 어크로스(come across),카페,127.024757862739,37.623306427484
20190607,폐업,20200713,서울특별시 강북구 미아동 303-11,서울특별시 강북구 솔매로 118-1 1층 101호 (미아동),추억 82,카페,127.025321044064,37.6258963754202
20190415,폐업,20200713,서울특별시 용산구 한강로2가 107-2,서울특별시 용산구 한강대로44길 11 101호 (한강로2가),숨다,카페,126.970675600935,37.5310195990693
20190415,영업,0,서울특별시 강남구 일원동 644-7,서울특별시 강남구 양재대로53길 10 1층 101호 (일원동),숨다,카페,127.087529699636,37.4914090606805
20171031,영업,0,서울특별시 중구 장충동2가 173-2 아도라타워 1층 103 104호,서울특별시 중구 퇴계로 272 (장충동2가 아도라타워 1층 103 104호),카페드블록,카페,127.001969409339,37.5627764987166
20160620,영업,0,서울특별시 도봉구 방학동 632-57 1층,서울특별시 도봉구 도당로13길 17 1층 (방학동),카페캠퍼(도깨비시장점),카페,127.035219897934,37.6654655847171
20121228,폐업,20200713,서울특별시 구로구 구로동 170-10 대륭포스트타워7차 109호,서울특별시 구로구 디지털로33길 48 1층 109호 (구로동 대륭포스트타워7차),까페라함,카페,126.894609900497,37.4871860529373
20120418,영업,0,서울특별시 금천구 독산동 1006-59,서울특별시 금천구 범안로12가길 49 지상2층 (독산동),국수카페,카페,126.893998765755,37.4649267001276
20110211,폐업,20200713,서울특별시 종로구 화동 138-12 (2층),서울특별시 종로구 북촌로5길 45 (화동(2층)),오제불,카페,126.982381531608,37.5793891023324
20200714,영업,0,서울특별시 금천구 시흥동 870-8 삼원빌딩,서울특별시 금천구 시흥대로 270 삼원빌딩 지상2층 (시흥동),카페리본,카페,126.899807309051,37.4577821500083
20200714,영업,0,서울특별시 서초구 양재동 273-2 1층,서울특별시 서초구 마방로10길 42 1층 (양재동),이디야 포이점,카페,127.044559582817,37.4756526378307
20200714,영업,0,서울특별시 중구 저동2가 88-5,서울특별시 중구 마른내로 6 123층 (저동2가),투썸플레이스,카페,126.988638515212,37.5644662377063
20200714,영업,0,서울특별시 강남구 신사동 629-15 (주)평화자동차강남사옥,서울특별시 강남구 도산대로 235 (주)평화자동차강남사옥 3층 (신사동),브릿지파이브카페(Bridge five cafe),카페,127.032642554499,37.5216199255272
20200714,영업,0,서울특별시 강북구 미아동 90-39,서울특별시 강북구 오현로4길 12 상가동 104호 (미아동),우스1123(Ooth1123),카페,127.031223629448,37.6159073334629
20200714,영업,0,서울특별시 서초구 반포동 118-3 CENTRALCITY 반포천 복개주차장 BP1동 3호,서울특별시 서초구 사평대로 205 CENTRALCITY 반포천 복개주차장 BP1동 3호 (반포동),팔공티&팔라쪼 파미에스테이션점,카페,127.006329730304,37.5039136782208
20200714,영업,0,서울특별시 강남구 대치동 514 SETEC,서울특별시 강남구 남부순환로 3104 SETEC 3홀 지상1층 (대치동),큐(한시적),카페,127.071795320112,37.4957890132293
20200714,영업,0,서울특별시 강남구 대치동 514 SETEC,서울특별시 강남구 남부순환로 3104 SETEC 1홀 지상1층 (대치동),큐(한시적),카페,127.071795320112,37.4957890132293
20200714,영업,0,서울특별시 노원구 상계동 1118-38 한올빌딩,서울특별시 노원구 동일로239가길 22 한올빌딩 2층 (상계동),할리스커피 수락산역점,카페,127.054842806796,37.6762237216489
20200714,영업,0,서울특별시 영등포구 영등포동4가 144-1,서울특별시 영등포구 영등포로 198-1 1층 (영등포동4가),쉬즈베이글영등포점,카페,126.903415885904,37.5200511686379
20200714,영업,0,서울특별시 강서구 방화동 450-7 1층,서울특별시 강서구 금낭화로 93 1층 (방화동),팔공티 방화사거리점,카페,126.81133184267,37.5738015230412
20200714,영업,0,서울특별시 동대문구 장안동 324-1 웰빙프라자,서울특별시 동대문구 답십리로69길 55 웰빙프라자 3층 제301호 (장안동),봉봉키즈 장안점,카페,127.073808016983,37.5746997428921
20200609,영업,0,서울특별시 종로구 인사동 34-16,서울특별시 종로구 인사동길 20-20 12층 (인사동),#인사동가는길,카페,126.987379654857,37.5724845206073
