,,인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
2017,4,20170724,영업,0,서울특별시 금천구 가산동 345-33 에이스하이엔드타워7차 104호,서울특별시 금천구 가산디지털2로 67 104호 (가산동 에이스하이엔드타워7차),규젤(GUZEL),편의점
2017,5,20140508,폐업,20200713,서울특별시 동대문구 전농동 38-104 1층,서울특별시 동대문구 전농로16길 54 1층 (전농동),윤언니네 카페,편의점
2017,8,20160624,폐업,20200714,서울특별시 마포구 성산동 242-5 지1층일부,서울특별시 마포구 성미산로 52 (성산동 지1층일부),워크룸케이브,편의점
2017,17,20160307,폐업,20200716,서울특별시 서대문구 연희동 115-41 1층,서울특별시 서대문구 연희로11마길 8 1층 (연희동),노크(knock),편의점
2017,18,20151224,폐업,20200717,서울특별시 강서구 화곡동 1051-27 (지상 1층),서울특별시 강서구 강서로 179 1층 (화곡동 3동),롯데쇼핑(주) 롯데마켓999,편의점
2017,19,20140822,폐업,20200717,서울특별시 중랑구 면목동 183-24 지상1층,서울특별시 중랑구 봉우재로 41 1층 (면목동),GS25동부시장점,편의점
2017,26,20170619,영업,0,서울특별시 송파구 방이동 131-19번지,서울특별시 송파구 가락로36길 15 1층 (방이동),원팩토리 커피 방이점,편의점
2017,28,20170912,폐업,20200717,서울특별시 영등포구 여의도동 17 더?아일랜드파크 101동 117호,서울특별시 영등포구 의사당대로 38 (여의도동 더?아일랜드파크 101동 117호),GS25여의파크점,편의점
2017,29,20150910,영업,0,서울특별시 관악구 봉천동 10-4,서울특별시 관악구 청림3길 10 1층 (봉천동),토프레소 청림점,편의점
2017,30,20160601,영업,0,서울특별시 서초구 양재동 220번지 하나빌딩 1층,서울특별시 서초구 매헌로1길 26 1층 (양재동 하나빌딩),세븐일레븐 양재LG전자점,편의점
2017,35,20140822,영업,0,서울특별시 서초구 서초동 1426-13번지 22호 1층,서울특별시 서초구 남부순환로 2451 1층 (서초동),GS25 서초연일점,편의점
2017,36,20130128,영업,0,서울특별시 양천구 신월동 525-1번지 12층,서울특별시 양천구 남부순환로 553 12층 (신월동),맥도날드 신월남부DT점,편의점
