학교종류,학교명,설립,주소,행정시,행정구,행정동,경도,위도
일반대학,서울시립대학교,공립,서울 동대문구 서울시립대로 163 (전농동 90번지) ,서울특별시,동대문구,휘경2동,127.06086440000001,37.58301804
일반대학,서울여자대학교,사립,서울특별시 노원구 화랑로 621 서울여자대학교,서울특별시,노원구,공릉2동,127.0904758,37.62932172
일반대학,숙명여자대학교,사립,서울 용산구 청파로47길 100 숙명여자대학교,서울특별시,용산구,청파동,126.9657682,37.54597494
일반대학,숭실대학교,사립,서울 동작구 상도동 511 숭실대학교,서울특별시,동작구,상도1동,126.95719799999999,37.49634372
전문대학(2년제),숭의여자대학교,사립,서울특별시 중구 소파로2길 10(예장동),서울특별시,중구,필동,126.987229,37.55677019
일반대학,이화여자대학교,사립,서울 서대문구 대현동 11-1 이화여자대학교,서울특별시,서대문구,신촌동,126.9474281,37.5625504
전문대학(2년제),인덕대학교,사립,서울 노원구 초안산로 12,서울특별시,노원구,월계2동,127.05598290000002,37.63019529
일반대학,장로회신학대학교,사립,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,서울특별시,광진구,광장동,127.10300149999999,37.54975194
일반대학,중앙대학교 서울캠퍼스,사립,서울 동작구 흑석로 84,서울특별시,동작구,흑석동,126.95785649999999,37.50407107
일반대학,총신대학교,사립,서울 동작구 사당동 산31-3,서울특별시,동작구,사당3동,126.9671024,37.49075065
일반대학,추계예술대학교,사립,서울 서대문구 북아현동 190-1 추계예술대학교,서울특별시,서대문구,충현동,126.9533017,37.56270264
일반대학,한국외국어대학교,사립,서울 동대문구 이문로 107,서울특별시,동대문구,이문1동,127.05698600000001,37.5979456
기능대학,한국폴리텍 I 대학 서울강서캠퍼스,사립,서울 강서구 화곡동 산60-1,서울특별시,강서구,우장산동,126.84352779999999,37.55038959
기능대학,한국폴리텍Ⅰ대학 서울정수캠퍼스,사립,서울 용산구 보광로 73(보광동 238),서울특별시,용산구,보광동,126.9971127,37.52923253
일반대학,한성대학교,사립,서울 성북구 삼선동3가 389 한성대학교,서울특별시,성북구,삼선동,127.0116176,37.5873022
일반대학,한양대학교,사립,서울특별시 성동구 왕십리로 222 ,서울특별시,성동구,사근동,127.04822970000001,37.55827566
전문대학(2년제),한양여자대학교,사립,서울 성동구 행당동 살곶이길 200,서울특별시,성동구,사근동,127.048996,37.55841379
일반대학,한영신학대학교,사립,서울 구로구 경인로 290-42  한영신학대학교,서울특별시,구로구,개봉1동,126.8517298,37.49661393
일반대학,홍익대학교,사립,서울특별시 마포구 와우산로 94(상수동),서울특별시,마포구,서강동,126.9272223,37.55147166
일반대학,가톨릭대학교,사립,서울 서초구 반포동 505,서울특별시,서초구,반포4동,127.00522269999999,37.50006958
일반대학,가톨릭대학교,사립,서울 종로구 창경궁로 296-12(혜화동) ,서울특별시,종로구,이화동,127.0046655,37.58562356
일반대학,경기대학교,사립,서울 서대문구 경기대로9길 24 경기대학교,서울특별시,서대문구,충현동,126.9622293,37.56447707
일반대학,광운대학교,사립,서울특별시 노원구 월계동 447-1,서울특별시,노원구,월계1동,127.0596443,37.61969406
전공대학,국제예술대학,사립,서울 강남구 논현동 79,서울특별시,강남구,논현2동,127.0309799,37.51689674
일반대학,덕성여자대학교,사립,서울특별시 도봉구 삼양로 144길 33,서울특별시,도봉구,쌍문1동,127.01834099999999,37.65089321
전문대학(3년제),동양미래대학교,사립,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),서울특별시,구로구,고척1동,126.8681699,37.49999637
사이버대학(대학),디지털서울문화예술대학교,사립,서울시 서대문구 통일로 37길 60 (홍제동 318-18),서울특별시,서대문구,홍제1동,126.94388000000001,37.58544521
일반대학,명지대학교 인문캠퍼스,사립,서울 서대문구 남가좌동 50-3,서울특별시,서대문구,남가좌2동,126.9230947,37.580215700000004
