데이터구분,자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
CCTV,강 남 구,9.39,16.09
CCTV,강 동 구,25.77,20.81
CCTV,강 북 구,33.72,24.27
CCTV,강 서 구,18.64,22.39
CCTV,관 악 구,20.25,30.36
CCTV,광 진 구,28.02,25.3
CCTV,구 로 구,17.73,19.09
CCTV,금 천 구,48.01,46.57
CCTV,노 원 구,8.91,22.56
CCTV,도 봉 구,9.02,17.37
CCTV,동대문구,10.91,10.93
CCTV,동 작 구,16.72,19.89
CCTV,마 포 구,11.21,23.82
CCTV,서대문구,10.07,17.4
CCTV,서 초 구,16.24,14.96
CCTV,성 동 구,12.33,29.68
CCTV,성 북 구,27.25,20.95
CCTV,송 파 구,33.28,18.73
CCTV,양 천 구,42.67,21.87
CCTV,영등포구,46.59,39.08
CCTV,용 산 구,3.67,4.36
CCTV,은 평 구,14.14,11.92
CCTV,종 로 구,7.37,18.76
CCTV,중     구,26.97,42.23
CCTV,중 랑 구,0.85,8.61
