자치구,2인 가구,cctv,어린이집/유치원,초중고등학교,대학교,백화점,버스정류장,병원,영화관,음식점,제과제빵,지하철역,카페,편의점
강남구,0.9299999999999999,12.74,2.675,0.0,0.0,0.0,18.795,4.785,-3.335,-0.725,-10.555,0.0,14.675,8.85
강동구,2.91,23.29,2.74,0.0,0.0,0.0,4.675,-1.5999999999999999,0.0,-0.815,-18.055,3.125,5.545,14.8
강북구,1.52,28.994999999999997,-2.4699999999999998,0.0,0.0,0.0,-1.34,3.125,0.0,-2.35,-19.884999999999998,0.0,2.585,13.079999999999998
강서구,3.08,20.515,1.4449999999999998,0.0,0.0,0.0,2.24,1.56,0.0,6.425,-16.345,0.0,13.615,18.7
관악구,2.19,25.305,5.1325,0.0,0.0,0.0,-0.93,9.215,0.0,2.5949999999999998,-5.0,0.0,10.18,14.219999999999999
광진구,1.98,26.66,2.495,0.0,0.0,0.0,-41.44,4.165,10.0,2.465,6.845000000000001,0.0,15.825,17.125
구로구,3.61,18.41,3.1925,1.2816666666666667,0.0,0.0,3.41,11.01,0.0,-1.54,-14.285,0.0,1.52,15.685
금천구,3.0549999999999997,47.29,-1.4299999999999997,0.0,0.0,0.0,-17.955,7.145,0.0,-1.685,0.0,0.0,11.355,23.655
노원구,1.79,15.735,3.1875,0.0,0.0,0.0,0.645,-2.275,0.0,0.8150000000000001,-4.545,0.0,11.129999999999999,15.01
도봉구,2.435,13.195,0.5975000000000001,0.0,0.0,0.0,0.64,0.0,0.0,2.465,-5.0,0.0,10.2,14.545
동대문구,2.4050000000000002,10.92,6.244999999999999,0.0,0.0,-0.5,0.155,-1.56,0.0,-2.375,3.2600000000000007,0.0,8.3,17.1
동작구,2.24,18.305,1.6125,0.0,0.0,0.0,-22.645,3.845,0.0,-0.07,-4.165,0.0,7.1850000000000005,21.445
마포구,1.5550000000000002,17.515,-1.755,0.0,0.0,0.5,-0.09,5.555,-8.335,-3.04,-10.44,0.0,-4.425,2.885
서대문구,1.92,13.735,2.0374999999999996,0.0,0.0,0.0,26.845,0.0,0.0,-0.5,0.3799999999999999,0.0,7.074999999999999,23.27
서초구,0.78,15.6,4.897500000000001,1.0416666666666667,0.0,0.0,12.635,0.0,0.0,-4.115,-9.19,0.0,1.8050000000000002,9.094999999999999
성동구,2.275,21.005,0.23249999999999993,0.0,0.0,0.0,10.52,0.0,25.0,2.755,6.25,0.0,10.030000000000001,17.17
성북구,3.0749999999999997,24.1,3.8125,0.0,0.0,0.0,-0.58,6.25,-16.665,-0.43499999999999994,-2.5,0.0,8.535,22.490000000000002
송파구,5.15,26.005000000000003,4.6274999999999995,1.0116666666666667,0.0,0.0,1.865,4.165,0.0,-1.235,-17.625,0.0,5.295,12.29
양천구,2.48,32.27,1.4400000000000004,0.0,0.0,0.0,0.275,7.765,0.0,-0.77,-11.495,0.0,4.73,18.705
영등포구,2.635,42.835,3.6149999999999993,0.0,0.0,0.0,4.555,-3.175,0.0,-0.22000000000000003,-5.755,0.0,7.265,15.425
용산구,2.27,4.015000000000001,3.585,0.0,0.0,0.0,8.43,0.0,-16.665,3.205,-2.565,0.0,4.995,3.8249999999999997
은평구,3.1,13.030000000000001,-0.6725000000000003,0.5383333333333333,0.0,0.0,6.03,-8.795,0.0,-4.375,11.11,0.0,4.965,16.035
종로구,1.615,13.065000000000001,4.9075,0.0,0.0,0.0,-0.935,-0.6950000000000003,-6.25,0.605,9.605,0.0,6.6049999999999995,2.145
중구,3.445,34.599999999999994,2.84,0.0,0.0,0.0,-54.03,-3.845,-7.415,-0.19,2.025,0.0,6.74,8.465
중랑구,2.3,4.7299999999999995,-0.8700000000000001,0.0,0.0,0.0,0.13,-5.555,0.0,0.815,-5.555,0.0,8.675,23.3
