데이터구분,자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
가로등,종로구,2.6,0.49
가로등,중구,0.61,-0.33
가로등,용산구,-0.59,5.37
가로등,성동구,2.08,4.67
가로등,광진구,-1.61,-3.31
가로등,동대문구,0.65,0.76
가로등,중랑구,0.54,0.03
가로등,성북구,-1.34,5.34
가로등,강북구,1.8,-4.11
가로등,도봉구,0.16,1.9
가로등,노원구,-0.41,2.59
가로등,은평구,-1.92,-0.92
가로등,서대문구,3.88,0.0
가로등,마포구,2.97,1.66
가로등,양천구,8.82,1.75
가로등,강서구,-0.13,33.48
가로등,구로구,1.04,0.52
가로등,금천구,-1.4,3.82
가로등,영등포구,3.16,-2.34
가로등,동작구,1.55,1.58
가로등,관악구,-0.02,8.38
가로등,서초구,8.48,0.8
가로등,강남구,0.0,-2.85
가로등,송파구,5.38,1.94
가로등,강동구,1.15,-6.33
