데이터,자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
버스정류장,종로구,0.0,-1.87
버스정류장,서대문구,0.0,53.69
버스정류장,중구,0.0,-108.06
버스정류장,광진구,0.0,-82.88
버스정류장,성동구,0.0,21.04
버스정류장,용산구,0.0,16.86
버스정류장,동대문구,0.0,0.31
버스정류장,중랑구,0.0,0.26
버스정류장,성북구,0.0,-1.16
버스정류장,노원구,0.0,1.29
버스정류장,강북구,0.0,-2.68
버스정류장,도봉구,0.0,1.28
버스정류장,관악구,0.0,-1.86
버스정류장,은평구,0.0,12.06
버스정류장,마포구,0.0,-0.18
버스정류장,양천구,0.0,0.55
버스정류장,구로구,0.0,6.82
버스정류장,강서구,0.0,4.48
버스정류장,강남구,0.0,37.59
버스정류장,금천구,0.0,-35.91
버스정류장,영등포구,0.0,9.11
버스정류장,동작구,0.0,-45.29
버스정류장,서초구,0.0,25.27
버스정류장,송파구,0.0,3.73
버스정류장,강동구,0.0,9.35
