데이터,구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
어린이집,강남구,11.67,-0.84
어린이집,강동구,13.53,-6.4
어린이집,강북구,10.39,-6.94
어린이집,강서구,7.05,-3.31
어린이집,관악구,12.5,-3.7
어린이집,광진구,11.25,-1.27
어린이집,구로구,12.41,-3.79
어린이집,금천구,10.75,-8.14
어린이집,노원구,10.59,-3.66
어린이집,도봉구,8.08,-12.5
어린이집,동대문구,12.66,-6.76
어린이집,동작구,6.45,0.0
어린이집,마포구,10.75,-3.33
어린이집,서대문구,11.39,-6.76
어린이집,서초구,20.0,-4.76
어린이집,성동구,5.81,-4.88
어린이집,성북구,17.69,-7.44
어린이집,송파구,17.56,-1.55
어린이집,양천구,20.17,-11.21
어린이집,영등포구,23.36,-7.87
어린이집,용산구,13.85,-6.56
어린이집,은평구,16.13,-9.93
어린이집,종로구,29.49,-9.86
어린이집,중구,11.36,0.0
어린이집,중랑구,7.55,-7.07
유치원,강남구,3.57,-3.7
유치원,강동구,8.0,-4.17
유치원,강북구,0.0,-13.33
유치원,강서구,4.17,-2.13
유치원,관악구,18.18,-6.45
유치원,광진구,0.0,0.0
유치원,구로구,8.7,-4.55
유치원,금천구,0.0,-8.33
유치원,노원구,14.75,-8.93
유치원,도봉구,14.81,-8.0
유치원,동대문구,23.08,-4.0
유치원,동작구,0.0,0.0
유치원,마포구,5.56,-20.0
유치원,서대문구,13.04,-9.52
유치원,서초구,4.35,0.0
유치원,성동구,0.0,0.0
유치원,성북구,5.0,0.0
유치원,송파구,2.5,0.0
유치원,양천구,2.86,-6.06
유치원,영등포구,9.68,-10.71
유치원,용산구,15.38,-8.33
유치원,은평구,11.11,-20.0
유치원,종로구,0.0,0.0
유치원,중구,0.0,0.0
유치원,중랑구,3.45,-7.41
