데이터,호선,구,2017년,2018년,2019년
지하철역,1,종로구,5,5,5
지하철역,1,서대문구,0,0,0
지하철역,1,중구,2,2,2
지하철역,1,광진구,0,0,0
지하철역,1,성동구,0,0,0
지하철역,1,용산구,2,2,2
지하철역,1,동대문구,6,6,6
지하철역,1,중랑구,0,0,0
지하철역,1,성북구,0,0,0
지하철역,1,노원구,4,4,4
지하철역,1,강북구,0,0,0
지하철역,1,도봉구,4,4,4
지하철역,1,관악구,0,0,0
지하철역,1,은평구,0,0,0
지하철역,1,마포구,0,0,0
지하철역,1,양천구,0,0,0
지하철역,1,구로구,6,6,6
지하철역,1,강서구,0,0,0
지하철역,1,강남구,0,0,0
지하철역,1,금천구,3,3,3
지하철역,1,영등포구,3,3,3
지하철역,1,동작구,1,1,1
지하철역,1,서초구,0,0,0
지하철역,1,송파구,0,0,0
지하철역,1,강동구,0,0,0
지하철역,2,종로구,0,0,0
지하철역,2,서대문구,1,1,1
지하철역,2,중구,6,6,6
지하철역,2,광진구,3,3,3
지하철역,2,성동구,7,7,7
지하철역,2,용산구,0,0,0
지하철역,2,동대문구,2,2,2
지하철역,2,중랑구,0,0,0
지하철역,2,성북구,0,0,0
지하철역,2,노원구,0,0,0
지하철역,2,강북구,0,0,0
지하철역,2,도봉구,0,0,0
지하철역,2,관악구,4,4,4
지하철역,2,은평구,0,0,0
지하철역,2,마포구,5,5,5
지하철역,2,양천구,2,2,2
지하철역,2,구로구,4,4,4
지하철역,2,강서구,1,1,1
지하철역,2,강남구,4,4,4
지하철역,2,금천구,0,0,0
지하철역,2,영등포구,3,3,3
지하철역,2,동작구,2,2,2
지하철역,2,서초구,3,3,3
지하철역,2,송파구,4,4,4
지하철역,2,강동구,0,0,0
지하철역,3,종로구,3,3,3
지하철역,3,서대문구,3,3,3
지하철역,3,중구,4,4,4
지하철역,3,광진구,0,0,0
지하철역,3,성동구,2,2,2
지하철역,3,용산구,0,0,0
지하철역,3,동대문구,0,0,0
지하철역,3,중랑구,0,0,0
지하철역,3,성북구,0,0,0
지하철역,3,노원구,0,0,0
지하철역,3,강북구,0,0,0
지하철역,3,도봉구,0,0,0
지하철역,3,관악구,0,0,0
지하철역,3,은평구,4,4,4
지하철역,3,마포구,0,0,0
지하철역,3,양천구,0,0,0
지하철역,3,구로구,0,0,0
지하철역,3,강서구,0,0,0
지하철역,3,강남구,9,9,9
지하철역,3,금천구,0,0,0
지하철역,3,영등포구,0,0,0
지하철역,3,동작구,0,0,0
지하철역,3,서초구,5,5,5
지하철역,3,송파구,3,3,3
지하철역,3,강동구,0,0,0
