유형,전체 기관명,도로명 주소,행정 구,행정 동,위도,경도,구 행정동
보건소,서울특별시 중구 보건소,서울특별시 중구 다산로 39길 16 (무학동),중구,신당동,37.5645877895091,127.01509615208799,중구 신당동
보건소,서울특별시 관악구 보건소 보건지소,서울특별시 관악구 관악로 279-7,관악구,낙성대동,37.48867101616621,126.957540115887,관악구 낙성대동
보건소,서울특별시 광진구 보건소 보건지소,서울특별시 광진구 긴고랑로 110 (중곡동),광진구,중곡2동,37.559338422603204,127.087091568985,광진구 중곡2동
보건소,서울특별시 노원구 보건소 공릉보건지소,서울특별시 노원구 공릉로 166-1 (공릉동),노원구,공릉2동,37.6247883871629,127.08000267866801,노원구 공릉2동
보건소,서울특별시 노원구 보건소 상계보건지소,서울특별시 노원구 상계로 118 (상계동),노원구,상계2동,37.65748116538522,127.067862728861,노원구 상계2동
보건소,서울특별시 노원구 보건소 월계보건지소,서울특별시 노원구 월계로 378 (월계동),노원구,월계3동,37.6314510954508,127.061591769685,노원구 월계3동
보건소,서울특별시 도봉구 보건소 보건지소,서울특별시 도봉구 덕릉로59길73-3 (창동),도봉구,창4동,37.6414062720864,127.035648110726,도봉구 창4동
보건소,서울특별시 서대문구 보건소 가좌보건지소,서울특별시 서대문구 수색로100-55 (북가좌동),서대문구,천연동,37.5743684063236,126.910136522518,서대문구 천연동
보건소,서울특별시 서초구 보건소 방배보건지소,서울특별시 서초구 방배로 173,서초구,방배4동,37.489007875214895,126.99224269252701,서초구 방배4동
보건소,서울특별시 성북구 보건소 보건지소,서울특별시 성북구 아리랑로 3길 8 (동소문동 6가),성북구,동선동,37.59360590063871,127.015752539505,성북구 동선동
보건소,서울특별시 송파구 보건소 보건지소,서울특별시 송파구 양산로 5 (거여동),송파구,거여1동,37.4897692715583,127.14267042380199,송파구 거여1동
보건소,서울특별시 은평구 보건소 보건지소,서울특별시 은평구 연서로34길 11 (불광동),은평구,불광2동,37.621561100964996,126.92769064119801,은평구 불광2동
보건소,서울특별시 종로구 보건소,서울특별시 종로구 자하문로 19길 36,종로구,청운효자동,37.5818315126927,126.96922620970501,종로구 청운효자동
보건소,서울특별시 강남구 보건소,서울특별시 강남구 선릉로 668,강남구,삼성2동,37.5164701274901,127.04190450475599,강남구 삼성2동
보건소,서울특별시 강동구 보건소,서울특별시 강동구 성내로 45 (성내동),강동구,성내1동,37.5295407046918,127.125584591191,강동구 성내1동
보건소,서울특별시 강북구 보건소,서울특별시 강북구 한천로 897,강북구,번2동,37.6321313485575,127.038780011679,강북구 번2동
보건소,서울특별시 강서구 보건소,서울특별시 강서구 공항대로 561 (염창동),강서구,염창동,37.5496488279095,126.868280199266,강서구 염창동
보건소,서울특별시 관악구 보건소,서울특별시 관악구 관악로 145,관악구,청룡동,37.4779590473466,126.951828236337,관악구 청룡동
보건소,서울특별시 광진구 보건소,서울특별시 광진구 자양로 117 (자양동),광진구,자양1동,37.537923837894894,127.08241036670401,광진구 자양1동
보건소,서울특별시 구로구 보건소,서울특별시 구로구 구로중앙로28길 66 (구로동),구로구,구로5동,37.5001053591757,126.889339705021,구로구 구로5동
보건소,서울특별시 금천구 보건소,서울특별시 금천구 시흥대로73길 70 (시흥동),금천구,시흥1동,37.4570662932684,126.89603722401199,금천구 시흥1동
보건소,서울특별시 노원구 보건소,서울특별시 노원구 노해로 437 (상계동),노원구,상계6.7동,37.654517898455,127.056296522076,노원구 상계6.7동
보건소,서울특별시 도봉구 보건소,서울특별시 도봉구 방학로3길 117 (쌍문동),도봉구,쌍문2동,37.657940247346794,127.038830140753,도봉구 쌍문2동
보건소,서울특별시 동대문구 보건소,서울특별시 동대문구 천호대로 145 (용두동),동대문구,용신동,37.574391144752795,127.039896535824,동대문구 용신동
보건소,서울특별시 동작구 보건소,서울특별시 동작구 장승배기로10길 42,동작구,상도2동,37.50444702335809,126.941089242548,동작구 상도2동
