년,상세영업상태명,폐업일자,사업장명,공연장형태구분명,설립일자,지번주소,도로명주소,위도,경도,구,행정동,구 행정동
2020,폐업,20200916,롯데시네마 황학,영화관,0,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400,37.57080937,127.0214631,중구,황학동,중구 황학동
2020,영업중,0,CGV 홍대점,영화관,0,서울특별시 마포구 동교동 159-8,서울특별시 마포구 서교동 양화로 153,37.5564945,126.9226317,마포구,서교동,마포구 서교동
2020,영업중,0,샘물,영화관,0,서울특별시 구로구 개봉동 339-9,서울특별시 구로구 개봉로15길 58-5,37.49011317,126.8525954,구로구,개봉2동,구로구 개봉2동
2020,영업중,0,메가박스 상암월드컵경기장,영화관,0,서울특별시 마포구 성산동 515-1,서울특별시 마포구 월드컵로 240,37.56994315,126.8990337,마포구,성산2동,마포구 성산2동
2020,영업중,0,롯데시네마 합정점,영화관,0,서울특별시 마포구 합정동 415-419,서울특별시 마포구 양화로 45,37.55016583,126.9136776,마포구,서교동,마포구 서교동
2020,영업중,0,KT&G 상상마당 시네마,영화관,0,서울특별시 마포구 서교동 367-5,서울특별시 마포구 어울마당로 65,37.55095823,126.9210633,마포구,서교동,마포구 서교동
2020,영업중,0,메가박스 코엑스,영화관,0,서울특별시 강남구 삼성동 159,서울특별시 강남구 봉은사로 524,37.51294416,127.05711409999998,강남구,삼성1동,강남구 삼성1동
2020,영업중,0,구로문화원,영화관,0,서울특별시 구로구 구로동 102,서울특별시 구로구 가마산로25길 21,37.49720117,126.8898583,구로구,구로5동,구로구 구로5동
2020,영업중,0,바다극장,영화관,19720220,서울특별시 종로구 예지동 222,서울특별시 종로구 청계천로 187,37.56936648,126.9984863,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
2020,영업중,0,메가박스 강남대로(씨티),영화관,19940905,서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422,37.50039311,127.0269841,강남구,역삼1동,강남구 역삼1동
2020,영업중,0,씨네마강남 대관,영화관,19950215,서울특별시 강남구 논현동 4-15,서울특별시 강남구 도산대로 126,37.51696870000001,127.0224111,강남구,논현1동,강남구 논현1동
