인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20200615,영업,0,서울특별시 강서구 내발산동 654-4 1층 13호,서울특별시 강서구 강서로 349 1층 13호 (내발산동),메가엠지씨커피 이대서울병원점,제과제빵,126.837423580558,37.556959653474,강서구,발산1동,강서구 발산1동
20160715,영업,0,서울특별시 서초구 양재동 220-1번지,서울특별시 서초구 매헌로1길 30 1층 (양재동),MMTH 양재시민의 숲,제과제빵,127.03410007769301,37.4622971921914,서초구,양재2동,서초구 양재2동
20200720,영업,0,서울특별시 성동구 하왕십리동 1070 센트라스,서울특별시 성동구 왕십리로 410 L동 1층 125호 (하왕십리동 센트라스),공차(왕십리센트라스점),제과제빵,127.027595597379,37.5661111208194,성동구,왕십리도선동,성동구 왕십리도선동
20160901,폐업,20200720,서울특별시 은평구 대조동 205-18 지하1층1층,서울특별시 은평구 통일로73길 26 지하11층 (대조동),Fibonacci(피보나치),제과제빵,126.921746622469,37.614829560157204,은평구,대조동,은평구 대조동
20200721,영업,0,서울특별시 강남구 신사동 532-7,서울특별시 강남구 가로수길 69 1층 (신사동),(주)나이스커피시스템,제과제빵,127.02236975529699,37.522571254007,강남구,신사동,강남구 신사동
20200721,영업,0,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류,서울특별시 강남구 테헤란로4길 46 129호 (역삼동 쌍용플래티넘밸류),주식회사 제이에스아트테인먼트,제과제빵,127.030405784953,37.495399931601,강남구,역삼1동,강남구 역삼1동
20200514,영업,0,서울특별시 마포구 염리동 148-27,서울특별시 마포구 백범로 129 1층 (염리동),빵쌀롱,제과제빵,126.94575961523,37.5464141015271,마포구,염리동,마포구 염리동
20200722,영업,0,서울특별시 강북구 미아동 126-46 한일빌딩,서울특별시 강북구 도봉로 166 한일빌딩 1층 (미아동),파블로,제과제빵,127.027532014576,37.6236647661229,강북구,송중동,강북구 송중동
20200722,영업,0,서울특별시 도봉구 창동 731-72,서울특별시 도봉구 도봉로 586 1층 (창동),깡통커피,제과제빵,127.040034507,37.6568710287918,도봉구,창5동,도봉구 창5동
20170823,영업,0,서울특별시 강남구 삼성동 26-33번지,서울특별시 강남구 삼성로115길 40 지상1층 (삼성동),비건이삼(Vegan23),제과제빵,127.048866194893,37.5141432080359,강남구,삼성2동,강남구 삼성2동
20160408,영업,0,서울특별시 서초구 방배동 909-9번지 지하1 층,서울특별시 서초구 방배로 81 지하1층 (방배동),노블피시방,제과제빵,126.997139532368,37.4816514562536,서초구,방배1동,서초구 방배1동
20070308,영업,0,서울특별시 종로구 창신동 243번지 ,서울특별시 종로구 지봉로 43 (창신동),파리바게뜨-동묘역점,제과제빵,127.015449529701,37.57412165239821,종로구,창신1동,종로구 창신1동
20190705,영업,0,서울특별시 종로구 도렴동 60번지 도렴빌딩 지하1층동 31호,서울특별시 종로구 새문안로5길 37 도렴빌딩 지하1층 31호 (도렴동),작은주방,제과제빵,126.974193267199,37.5736049240794,종로구,사직동,종로구 사직동
20190729,영업,0,서울특별시 종로구 창신동 142-32번지 ,서울특별시 종로구 종로51길 20 1층 (창신동),못난이 닭강정,제과제빵,127.01183910626,37.5728732907838,종로구,창신1동,종로구 창신1동
20190118,영업,0,서울특별시 종로구 인의동 112-1번지 더케이손해보험빌딩 ,서울특별시 종로구 창경궁로 117 더케이손해보험빌딩 1층 (인의동),바빈스커피 종로 Thek 손해보험점,제과제빵,126.99718936702101,37.5727946535137,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20190208,영업,0,서울특별시 종로구 혜화동 114-2번지 1층 ,서울특별시 종로구 창경궁로 271-1 1층 (혜화동),위트 앤 시니컬,제과제빵,126.99668309912201,37.583888220849104,종로구,혜화동,종로구 혜화동
20190115,폐업,20200904,서울특별시 종로구 명륜2가 230,서울특별시 종로구 성균관로 1 1층 (명륜2가),GS25 성대입구점,제과제빵,126.998431855157,37.5831484513945,종로구,혜화동,종로구 혜화동
20190410,영업,0,서울특별시 종로구 평동 233번지 경희궁자이 3단지 ,서울특별시 종로구 경교장길 35 1층 3101호 (평동 경희궁자이 3단지),씨유 경희궁자이 행복점,제과제빵,126.96589142318199,37.5684690367064,종로구,교남동,종로구 교남동
20190307,영업,0,서울특별시 종로구 누하동 255번지 ,서울특별시 종로구 필운대로 25-2 (누하동),오디디(odd),제과제빵,126.969043153004,37.578356521837705,종로구,청운효자동,종로구 청운효자동
20190325,영업,0,서울특별시 종로구 명륜2가 130번지 ,서울특별시 종로구 성균관로 26-4 1층 104호 (명륜2가),저스틴,제과제빵,126.997406282287,37.585133321455395,종로구,혜화동,종로구 혜화동
20190130,영업,0,서울특별시 종로구 종로2가 6번지 종로타워 지하2층 212-2호,서울특별시 종로구 종로 51 종로타워 지하2층 212-2호 (종로2가),요거트맨 종로서적점,제과제빵,126.983862657121,37.5704500956109,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20190201,영업,0,서울특별시 종로구 공평동 17번지 ,서울특별시 종로구 우정국로 26 지하2층 리테일14호 (공평동),엔제리너스 센트로폴리스점,제과제빵,126.983516239836,37.5716468397392,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20100304,영업,0,서울특별시 종로구 평동 108-1번지 강북삼성병원  본관1층 ,서울특별시 종로구 새문안로 29 (평동강북삼성병원  본관1층),파스쿠찌 강북삼성병원점,제과제빵,126.96815909509199,37.5682917234497,종로구,교남동,종로구 교남동
20110907,영업,0,서울특별시 종로구 삼청동 106번지 지상1층2층 ,서울특별시 종로구 삼청로 109 (삼청동지상1층2층),(주)커피빈코리아 삼청동점,제과제빵,126.984665177491,37.57726830068261,종로구,삼청동,종로구 삼청동
20170214,영업,0,서울특별시 종로구 서린동 63번지 1층 ,서울특별시 종로구 종로 38 1층 (서린동),카페 다솜이야기,제과제빵,126.981483088922,37.56983427641421,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20101001,영업,0,서울특별시 종로구 돈의동 137번지 (지하4층) ,서울특별시 종로구 돈화문로5가길 1 (돈의동(지하4층)),CGV 피카디리1958,제과제빵,126.991229161163,37.571037150367296,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20110323,영업,0,서울특별시 종로구 연건동 28-21번지 서울대학교병원 암병원(지하2층) ,서울특별시 종로구 대학로 101 (연건동서울대학교병원 암병원(지하2층)),아로마띠꼬,제과제빵,126.99879635940799,37.579156693131,종로구,이화동,종로구 이화동
20170203,영업,0,서울특별시 종로구 관철동 180번지 6층 ,서울특별시 종로구 삼일대로17길 51 6층 (관철동),쓰리팝 3 POP,제과제빵,126.984665038606,37.569112494627596,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
20130913,영업,0,서울특별시 종로구 내수동 95번지 102동 103호,서울특별시 종로구 사직로8길 20 102동 지1층 103호 (내수동),비트윈 앤 밸런스드(Between and Balanced),제과제빵,126.97054356305,37.5741702549538,종로구,사직동,종로구 사직동
20120103,영업,0,서울특별시 종로구 관철동 5-13번지 1층 ,서울특별시 종로구 청계천로 93 1층 (관철동 파고다타워종로사옥),카페 허,제과제빵,126.98804919017401,37.5684689441495,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동
