년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,영업,어린이집,개미어린이집,서울특별시 금천구 독산동 993-30번지 개미어린이집 ,126.905875540641,37.473025779021796,금천구,독산3동
2020,영업,어린이집,독산1동어린이집,서울특별시 금천구 독산동 999-11번지 독산1동어린이집 ,126.89085857103201,37.4682224248816,금천구,독산1동
2020,영업,어린이집,새길어린이집,서울특별시 금천구 시흥동 산 13-8번지 ,126.90753041226999,37.4401384231048,금천구,시흥3동
2020,영업,어린이집,가산어린이집,서울특별시 금천구 가산동 602-71번지 가산어린이집상록경록당 ,126.884379057129,37.4826935697684,금천구,가산동
2020,영업,어린이집,옥계어린이집,서울특별시 금천구 독산동 1067-9번지 옥계어린이집 ,126.900343816551,37.46011138172821,금천구,독산2동
2020,영업,유치원,서울숭신초등학교서울숭신초등학교병설유치원,서울특별시 성동구 하왕십리동 1068번지 ,127.02777827697399,37.5676865598955,성동구,왕십리도선동
2020,영업,유치원,서울정곡초등학교및병설유치원,서울특별시 강서구 방화동 836-0번지 ,126.81893273906601,37.576634016041005,강서구,방화3동
2020,영업,어린이집,금호어린이집(구립),서울특별시 성동구 금호동2가 산 9-1번지 ,127.01758529086099,37.5535608230365,성동구,금호2.3가동
2020,영업,유치원,숭의초등학교(숭의유치원),서울특별시 중구 예장동 8-3번지 ,126.98737550482402,37.556891783324794,중구,필동
2020,폐업,유치원,엔젤유치원,서울특별시 은평구 역촌동 29-24번지 ,126.91896268527901,37.6042079265358,은평구,역촌동
2020,영업,유치원,서울충무초등학교 서울충무초등학교병설유치원,서울특별시 중구 장충동2가 173-7번지 ,127.00179619494301,37.562013409601995,중구,장충동
2020,영업,어린이집,서울아산병원어린이집,서울특별시 송파구 풍납동 388-1번지 ,127.109452762088,37.5262665653841,송파구,풍납2동
2020,영업,어린이집,궁동어린이집,서울특별시 구로구 궁동 283-9번지 ,126.828960884695,37.4968593443773,구로구,수궁동
2020,영업,어린이집,행당어린이집,서울특별시 성동구 행당동 346-1 한진A 임대관리동2층,127.026406458924,37.5552735401293,성동구,행당2동
2020,영업,유치원,우정유치원,서울특별시 서초구 서초동 1324-14번지 ,127.02330905572501,37.493133003155705,서초구,서초2동
2020,영업,유치원,서울장충초등학교 서울장충유치원,서울특별시 중구 신당동 386-86번지 장충초등학교 ,127.011155653911,37.5594847314199,중구,다산동
2020,폐업,어린이집,이태원삼성어린이집,서울특별시 용산구 이태원동 111-6번지 ,126.99538231955799,37.5352834351229,용산구,이태원1동
