X谅钎,Y谅钎,磊摹备,锅掳,1牢 啊备 痢荐,2牢 啊备 痢荐,4牢 啊备 痢荐
126.879484283631,37.517775206651294,备肺备,1526,2.0,2.0,1
126.881729325837,37.5164198214865,备肺备,1525,11.0,12.5,11
126.88201632407,37.516103358127104,备肺备,1525,11.0,12.5,11
126.882447963907,37.51596751840521,备肺备,1525,11.0,12.5,11
126.882680795928,37.5158100786107,备肺备,1525,11.0,12.5,11
126.88270578509899,37.5157656125756,备肺备,1525,11.0,12.5,11
126.88270731116,37.515138295750106,备肺备,1525,11.0,12.5,11
126.883649627244,37.5146087784153,备肺备,1600,68.0,68.0,41
126.884088622953,37.51439100341671,备肺备,1600,68.0,68.0,41
126.88431012595501,37.514355471883995,备肺备,1600,68.0,68.0,41
126.884293255893,37.5141780670423,备肺备,1600,68.0,68.0,41
126.88430945941002,37.513986062837795,备肺备,1600,68.0,68.0,41
126.884415240306,37.5138118790633,备肺备,1600,68.0,68.0,41
126.88459937763399,37.5137135014954,备肺备,1600,68.0,68.0,41
126.885084997701,37.5136283865182,备肺备,1600,68.0,68.0,41
126.88568455123301,37.5135799978034,备肺备,1600,68.0,68.0,41
126.88583005757098,37.5135415687496,备肺备,1600,68.0,68.0,41
126.886344457861,37.5133556733186,备肺备,1600,68.0,68.0,41
126.88680022119499,37.5132651702502,备肺备,1600,68.0,68.0,41
126.88711734218701,37.513221842546,备肺备,1600,68.0,68.0,41
126.88750479334699,37.51318617729,备肺备,1600,68.0,68.0,41
126.88769577146299,37.513115408008396,备肺备,1600,68.0,68.0,41
126.887843499678,37.5130127736171,备肺备,1600,68.0,68.0,41
126.887983788176,37.5129154928166,备肺备,1600,68.0,68.0,41
126.88835649351002,37.512344267379106,备肺备,1599,253.0,252.5,146
126.888611294794,37.5122586462374,备肺备,1599,253.0,252.5,146
126.88879122604999,37.5122433209405,备肺备,1599,253.0,252.5,146
126.889705463724,37.5122329273821,备肺备,1674,76.0,78.0,50
126.88980042406601,37.512084082519706,备肺备,1674,76.0,78.0,50
126.889787232584,37.5120407140951,备肺备,1674,76.0,78.0,50
126.889688483125,37.511893920411296,备肺备,1674,76.0,78.0,50
126.889677896837,37.5118784312699,备肺备,1674,76.0,78.0,50
126.889674088317,37.5118232416307,备肺备,1674,76.0,78.0,50
126.889750022268,37.51175123378261,备肺备,1674,76.0,78.0,50
126.88978133687,37.5117239361836,备肺备,1674,76.0,78.0,50
126.889812103851,37.5117149643269,备肺备,1674,76.0,78.0,50
126.889885304507,37.5116933555494,备肺备,1674,76.0,78.0,50
126.889930745949,37.5116736936899,备肺备,1674,76.0,78.0,50
126.88992460735001,37.511527275959295,备肺备,1674,76.0,78.0,50
126.889983884049,37.511475524641796,备肺备,1674,76.0,78.0,50
126.89002350207501,37.5114547219918,备肺备,1674,76.0,78.0,50
126.890235883837,37.5113690482748,备肺备,1674,76.0,78.0,50
126.89042042880199,37.511100896192396,备肺备,1674,76.0,78.0,50
126.89064023650299,37.5108876746361,备肺备,1674,76.0,78.0,50
126.89067237892598,37.5106672309242,备肺备,1674,76.0,78.0,50
126.89105046663201,37.5103747611721,备肺备,1674,76.0,78.0,50
126.89108904515699,37.5103449652411,备肺备,1674,76.0,78.0,50
126.891476014071,37.5103875560638,备肺备,1674,76.0,78.0,50
126.89169578092199,37.5103145455864,备肺备,1674,76.0,78.0,50
126.89188569941601,37.510117628960096,备肺备,1674,76.0,78.0,50
126.892023431788,37.50982718524529,备肺备,1674,76.0,78.0,50
126.89212877525101,37.509339627315505,备肺备,1674,76.0,78.0,50
126.892332183034,37.5090962670261,备肺备,1674,76.0,78.0,50
126.892279906082,37.5090736937737,备肺备,1674,76.0,78.0,50
126.89228326784901,37.5090641282951,备肺备,1674,76.0,78.0,50
126.892377088494,37.508837271905605,备肺备,1674,76.0,78.0,50
126.89243065011601,37.50870752375671,备肺备,1674,76.0,78.0,50
126.89253440062402,37.5084570162157,备肺备,1674,76.0,78.0,50
126.892599834601,37.508298005540006,备肺备,1673,361.0,361.0,197
126.892624669047,37.508237481433795,备肺备,1673,361.0,361.0,197
126.89267344222999,37.5081178739739,备肺备,1673,361.0,361.0,197
126.892732133349,37.5079754623787,备肺备,1673,361.0,361.0,197
126.892783392091,37.50784964928661,备肺备,1673,361.0,361.0,197
126.89279439887899,37.5078169982721,备肺备,1673,361.0,361.0,197
126.892844591001,37.5076934366611,备肺备,1673,361.0,361.0,197
126.892968013372,37.5073993205059,备肺备,1673,361.0,361.0,197
126.892984311058,37.5072430665285,备肺备,1673,361.0,361.0,197
126.89297388158998,37.507127053555706,备肺备,1673,361.0,361.0,197
126.89297322613501,37.5070876343252,备肺备,1673,361.0,361.0,197
126.89301234682199,37.5070488192635,备肺备,1673,361.0,361.0,197
126.893012330492,37.5069350683475,备肺备,1673,361.0,361.0,197
126.89301639971501,37.5069288732239,备肺备,1673,361.0,361.0,197
126.89301906406,37.50692437068471,备肺备,1673,361.0,361.0,197
126.89310787169599,37.506860256161396,备肺备,1673,361.0,361.0,197
126.89313210539301,37.506839150012105,备肺备,1673,361.0,361.0,197
