X谅钎,Y谅钎,磊摹备,锅掳,1牢 啊备 痢荐,2牢 啊备 痢荐,4牢 啊备 痢荐
127.11310504443001,37.543170920447004,价颇备,4457,0.0,0.0,0
127.113046938959,37.5429803524996,价颇备,4457,0.0,0.0,0
127.11314714837098,37.5429504169694,价颇备,4457,0.0,0.0,0
127.113899643032,37.5427326182993,价颇备,4532,2.0,2.0,1
127.114002317653,37.5427021120717,价颇备,4532,2.0,2.0,1
127.11406222812599,37.54268432347229,价颇备,4532,2.0,2.0,1
127.11410781975201,37.54267076513671,价颇备,4532,2.0,2.0,1
127.11417002547,37.5426518390446,价颇备,4532,2.0,2.0,1
127.114271115309,37.5426210547873,价颇备,4532,2.0,2.0,1
127.11434887266701,37.54259760879221,价颇备,4532,2.0,2.0,1
127.114434049402,37.542571903172394,价颇备,4532,2.0,2.0,1
127.114457020115,37.5425648444602,价颇备,4532,2.0,2.0,1
127.114469925326,37.54256117409071,价颇备,4532,2.0,2.0,1
127.11452594565,37.5425450648213,价颇备,4532,2.0,2.0,1
127.11462066980499,37.542517665075394,价颇备,4532,2.0,2.0,1
127.11468818085899,37.5424978957063,价颇备,4532,2.0,2.0,1
127.114739609231,37.5424832052931,价颇备,4532,2.0,2.0,1
127.114819833025,37.5424597566229,价颇备,4532,2.0,2.0,1
127.114927642738,37.5424283977308,价颇备,4532,2.0,2.0,1
127.114988956285,37.5424108866208,价颇备,4532,2.0,2.0,1
127.115317316034,37.5423153988865,价颇备,4532,2.0,2.0,1
127.115549178055,37.5422492856921,价颇备,4532,2.0,2.0,1
127.11557462574699,37.5422416657555,价颇备,4532,2.0,2.0,1
127.11573543132,37.5421927937062,价颇备,4532,2.0,2.0,1
127.115981954229,37.5421173852639,价颇备,4532,2.0,2.0,1
127.11614066455799,37.542074992825,价颇备,4532,2.0,2.0,1
127.11616256917601,37.5420665292679,价颇备,4532,2.0,2.0,1
127.116185367675,37.542058055829,价颇备,4532,2.0,2.0,1
127.116233423949,37.5420436473463,价颇备,4532,2.0,2.0,1
127.11637303697901,37.54200325532621,价颇备,4532,2.0,2.0,1
127.11647995191002,37.541972175193,价颇备,4532,2.0,2.0,1
127.11650010649299,37.541966245064295,价颇备,4532,2.0,2.0,1
127.116522375283,37.5419591866333,价颇备,4532,2.0,2.0,1
127.11652996301001,37.5419560798316,价颇备,4532,2.0,2.0,1
127.116556462432,37.5419408452768,价颇备,4532,2.0,2.0,1
127.11662605635401,37.5419002328257,价颇备,4532,2.0,2.0,1
127.116705022255,37.5418542683101,价颇备,4532,2.0,2.0,1
127.116760484627,37.5418218325492,价颇备,4532,2.0,2.0,1
127.116954795576,37.5417087394675,价颇备,4532,2.0,2.0,1
127.117116242419,37.5416148243181,价颇备,4532,2.0,2.0,1
127.117231937904,37.5415476952272,价颇备,4532,2.0,2.0,1
127.117334564676,37.5414881832122,价颇备,4532,2.0,2.0,1
127.117367335908,37.54152644322961,价颇备,4532,2.0,2.0,1
127.117398789306,37.5415174024501,价颇备,4532,2.0,2.0,1
127.11753415842199,37.5414775718341,价颇备,4532,2.0,2.0,1
127.117570561694,37.541464588810896,价颇备,4532,2.0,2.0,1
127.11759317968901,37.541456682901895,价颇备,4532,2.0,2.0,1
127.11764707171899,37.54144086255929,价颇备,4532,2.0,2.0,1
127.117739145583,37.5414134539047,价颇备,4532,2.0,2.0,1
127.11789236123,37.541368253420295,价颇备,4532,2.0,2.0,1
127.117991322748,37.5413388736188,价颇备,4532,2.0,2.0,1
127.118087987674,37.5413097843186,价颇备,4532,2.0,2.0,1
127.11812792413299,37.5412987617985,价颇备,4532,2.0,2.0,1
127.11818517431101,37.5412815233365,价颇备,4532,2.0,2.0,1
127.11832248745199,37.5412408429628,价颇备,4532,2.0,2.0,1
127.11852395136299,37.5411820880568,价颇备,4531,30.0,30.0,18
127.11887471908399,37.541073900266,价颇备,4531,30.0,30.0,18
127.11892537476801,37.5411304412283,价颇备,4531,30.0,30.0,18
127.11895205196699,37.5411208371581,价颇备,4531,30.0,30.0,18
127.118868280149,37.5410229375429,价颇备,4531,30.0,30.0,18
127.118848433397,37.5409939633374,价颇备,4531,30.0,30.0,18
127.118891721313,37.540977306028296,价颇备,4531,30.0,30.0,18
127.119114343753,37.5408900847619,价颇备,4531,30.0,30.0,18
127.11915975434201,37.5408706051353,价颇备,4531,30.0,30.0,18
127.119340321142,37.5407924352491,价颇备,4531,30.0,30.0,18
127.119739254701,37.5406202894499,价颇备,4606,330.0,331.0,175
127.119859188083,37.54055231561121,价颇备,4606,330.0,331.0,175
127.120054017327,37.5404428749198,价颇备,4606,330.0,331.0,175
127.120201873941,37.540359663953296,价颇备,4606,330.0,331.0,175
127.120256804559,37.54032891193361,价颇备,4606,330.0,331.0,175
127.12036630613399,37.5402547582489,价颇备,4606,330.0,331.0,175
127.120536549376,37.5401399896031,价颇备,4606,330.0,331.0,175
127.12077020047,37.539982359568704,价颇备,4606,330.0,331.0,175
127.12104676861601,37.5397968179489,价颇备,4606,330.0,331.0,175
127.121163505163,37.5397195477732,价颇备,4606,330.0,331.0,175
127.121431251124,37.539551466404,价颇备,4606,330.0,331.0,175
127.12156371902701,37.5394699632118,价颇备,4606,330.0,331.0,175
127.121799675429,37.5393202124649,价颇备,4606,330.0,331.0,175
127.12184930842899,37.53928891549021,价颇备,4606,330.0,331.0,175
127.121857787258,37.5392843928792,价颇备,4606,330.0,331.0,175
127.121909194815,37.5392590045805,价颇备,4606,330.0,331.0,175
127.122102444991,37.5391636446099,价颇备,4606,330.0,331.0,175
127.122302602968,37.5390651688336,价颇备,4606,330.0,331.0,175
127.12239727719101,37.5390183374946,价颇备,4606,330.0,331.0,175
127.122404873422,37.5390138247574,价颇备,4606,330.0,331.0,175
127.12245664226299,37.5389951842825,价颇备,4606,330.0,331.0,175
127.122611078783,37.5389401195561,价颇备,4606,330.0,331.0,175
127.122856320697,37.538853147325,价颇备,4606,330.0,331.0,175
127.12332349516001,37.5386865504439,价颇备,4606,330.0,331.0,175
127.123439922867,37.538644480098206,价颇备,4606,330.0,331.0,175
127.12319254629101,37.537959980954106,价颇备,4606,330.0,331.0,175
127.12312932165199,37.537786605014404,价颇备,4606,330.0,331.0,175
127.123084758024,37.53766389065979,价颇备,4606,330.0,331.0,175
127.123032193938,37.53751949762629,价颇备,4606,330.0,331.0,175
127.122972163573,37.5373548489206,价颇备,4606,330.0,331.0,175
127.122748064582,37.5367373405859,价颇备,4605,193.0,193.0,103
127.122700830574,37.5366067451183,价颇备,4605,193.0,193.0,103
127.12265766456801,37.5364868402402,价颇备,4605,193.0,193.0,103
127.122625885757,37.5363978997982,价颇备,4605,193.0,193.0,103
127.12258911773199,37.5362951702617,价颇备,4605,193.0,193.0,103
127.12254684865299,37.5361769582833,价颇备,4605,193.0,193.0,103
127.12241508693899,37.535808533114,价颇备,4605,193.0,193.0,103
127.12233872036,37.535594057832,价颇备,4605,193.0,193.0,103
127.122217608364,37.5352543451638,价颇备,4605,193.0,193.0,103
127.12213769795,37.5350305841149,价颇备,4605,193.0,193.0,103
